goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	178	Congo	011	Western Africa	Country	COG	1	15.22052612	-0.840544119	PER_100_POP	Per 100 population						Estimate based on the number of fixed and mobile broadband subscriptions. 	Agence de Régulation des Postes et des Communications Electroniques // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // Direction Génerale de l'Administration Centrale des Postes et Télécommunications du Congo. // ITU Estimate. // ITU estimate.		NA: Data nature not available	0.03	0.03	0.16	0.46	1.08	1.46	2.01	2.76	4.29	4.5	5.0	5.6	6.11	6.6	7.11	7.62	8.12	8.65	8.65	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	180	Democratic Republic of the Congo	017	Middle Africa	Country	COD	1	23.65496507	-2.877154732	PER_100_POP	Per 100 population						Country estimate. // ITU estimate. 	Autorité de Régulation de la Poste et des Télécommunications // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // ITU estimate. 		NA: Data nature not available	0.01	0.01	0.09	0.13	0.2	0.24	0.3	0.37	0.44	0.56	0.72	1.2	1.68	2.2	3.0	3.8	6.21	8.62	8.62	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	184	Cook Islands	061	Polynesia	Country	COK	0	-159.7711391	-21.22696458	PER_100_POP	Per 100 population						this figure includes all individuals who have access to the internet at home.	Cook Islands Statistics Office // ITU Estimate. // ITU estimate. // Telecom Cook Islands Ltd.		NA: Data nature not available	15.66	18.08	20.02	22.87	23.99	26.2	25.86	25.6	25.41	30.29	35.71	39.03	42.0	45.0	48.0	51.0	54.0		54.0	2016
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	188	Costa Rica	013	Central America	Country	CRI	1	-84.19712782	9.970998683	PER_100_POP	Per 100 population						Break in comparability. Total population. In the last three months. // Estimated based on 2005 and 2008 surveys' results. Population age 5+ // In the last 3 months. Population 5+. // Population age 5+ in the last three months. // Population age 5+ using Internet in the last 3 months. // Population age 5+. // Total population. In the last three months.	Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ICE-Telecomunicaciones // ITU estimate. // Instituto Nacional de Estadisticas y Censos  // Instituto Nacional de Estadisticas y Censos (INEC) // Instituto Nacional de Estadística y Censos // Instituto Nacional de Estadística y Censos.		NA: Data nature not available	5.8	9.56	19.89	20.33	20.79	22.07	25.1	28.4	32.29	34.33	36.5	39.21	47.5	45.96	53.0	59.76	66.03	71.58	71.58	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	191	Croatia	039	Southern Europe	Country	HRV	1	17.95874553	45.45172212	PER_100_POP	Per 100 population						 Users in the last 3 months. //  Users in the last 3 months. Age 16-74. // Last 3 months. // Population age 16-74.	Croatian Bureau of Statistics // Croatian Post and Electronic Communications Agency (HAKOM) // Croatian Post and Electronic Communications Agency (HAKOM).  // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // Eurostat // Eurostat.		NA: Data nature not available	6.64	11.56	17.76	22.75	30.91	33.14	37.98	41.44	44.24	50.58	56.55	57.79	61.94	66.75	68.57	69.8	72.7	67.1	67.1	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	192	Cuba	029	Caribbean	Country	CUB	1	-79.54460144	22.10030366	PER_100_POP	Per 100 population						Incl. users of the international network and also those having access only to the Cuban network. // Incl. users of the international network and also those having access only to the Cuban network. Users of international network account for 2.9%. // Population age 6+. // Population age 6+. Incl. users of the international network and also those having access only to the Cuban network. // Refers only to users with access to the international network.	ITU estimate. // Ministerio de la Informática y las Comunicaciones // Ministerio de la Informática y las Comunicaciones. // ONE. // ONEI // Oficina Nacional de Estadisticas (ONE) // Oficina Nacional de Estadisticas e Información (ONEI) // Oficina Nacional de Estadística e Información (ONEI)		NA: Data nature not available	0.54	1.08	3.77	5.24	8.41	9.74	11.16	11.69	12.94	14.33	15.9	16.02	21.2	27.93	29.07	37.31	42.98	49.1	49.1	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	196	Cyprus	145	Western Asia	Country	CYP	1	33.22285964	35.05659437	PER_100_POP	Per 100 population						 Users in the last 3 months. //  Users in the last 3 months. Age 16-74. // Population age 16-74. // Population age 16-74.  	ESIS. // ESIS. ESIS. ESIS. // Eurostat // Eurostat. // ITU estimate based on Eurostat. // Statistical Service of Cyprus // Statistical Service of Cyprus.		NA: Data nature not available	15.26	18.82	28.32	30.09	33.83	32.81	35.83	40.77	42.31	49.81	52.99	56.86	60.69	65.45	69.33	71.72	75.9	80.74	80.74	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	203	Czechia	151	Eastern Europe	Country	CZE	1	15.33151382	49.73913871	PER_100_POP	Per 100 population						 Users in the last 3 months. //  Users in the last 3 months. Age 16-74. // Population age 16+. // Population age 16-74. // reference period: 3 months prior to questioning	Czech Statistical Office // Czech Statistical Office. // Eurostat // Eurostat. // Ministry of Economy. Czech Telecommunication Office estimate. // Ministry of Economy. Czech Telecommunication Office.		NA: Data nature not available	9.78	14.7	23.93	34.3	35.5	35.27	47.93	51.93	62.97	64.43	68.82	70.49	73.43	74.11	74.23	75.67	76.48	78.72	78.72	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	204	Benin	011	Western Africa	Country	BEN	1	2.339933594	9.65401646	PER_100_POP	Per 100 population						Population 6+	Autorité Transitoire de Régulation des Postes et Télécommunications // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // NSO.		NA: Data nature not available	0.23	0.36	0.7	0.95	1.18	1.27	1.54	1.79	1.85	2.24	3.13	4.15	4.5	4.9	6.0	11.25	11.99	14.12	14.12	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	208	Denmark	154	Northern Europe	Country	DNK	1	9.326571283	56.03829721	PER_100_POP	Per 100 population						 Users in the last 3 months. //  Users in the last 3 months. Age 16-74. //  internet used past 3 months // E-mail users. // Population age 16-74 using Internet in the last 3 months. // Population age 16-74. // Population age 16-74.  	Eurostat // Eurostat. // ITU estimate. // MR&IT. // National IT- and Telecom Agency NITA // Statistics Denmark // Statistics Denmark.		NA: Data nature not available	39.17	42.96	64.25	76.26	80.93	82.74	86.65	85.03	85.02	86.84	88.72	89.81	92.26	94.63	95.99	96.33	96.97	97.1	97.1	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	212	Dominica	029	Caribbean	Country	DMA	1	-61.3493756	15.43391378	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ECTEL // ITU Estimate. // ITU estimate. // National Telecommunications Regulatory Commission		NA: Data nature not available	8.81	13.25	18.42	23.62	30.32	38.54	39.4	40.27	41.16	42.02	47.45	48.6	49.8	51.0	57.5	65.0	67.03	69.62	69.62	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	214	Dominican Republic	029	Caribbean	Country	DOM	1	-70.49847576	18.89832088	PER_100_POP	Per 100 population						12+ years // 12+ years. // Calculated using a multiplying factor of 3.9 to residencial subscriptions and 16 to business subscriptions. // Population age 12+.	ITU estimate. // Instituto Dominicano de las Telecomunicaciones (INDOTEL) // Instituto Dominicano de las Telecomunicaciones (INDOTEL). // Oficina Nacional Estadistica. // Oficina Nacional de Estadistica // Oficina Nacional de Estadística		NA: Data nature not available	3.7	4.43	6.82	7.9	8.87	11.48	14.84	17.66	20.82	27.72	31.4	38.0	42.32	45.9	49.58	54.22	63.87	64.99	64.99	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	218	Ecuador	005	South America	Country	ECU	1	-78.37005241	-1.447785891	PER_100_POP	Per 100 population						Estimated based on survey results. // PERSONAS DE 5 AÑOS Y MÁS, INFORMANTE DIRECTO DE 15 AÑOS Y MÁS // Population age 10+. // Population age 5+ // Population age 5+ (Source: INEC, households survey) // Population age 5+. // Population age 5+. Direct respondent as of 15.	Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // INSTITUTO NACIONAL DE ESTADISTICA Y CENSOS - INEC // ITU estimate. // Instituto Nacional de Estadistica y Censos // Instituto Nacional de Estadistica y Censos - INEC // Instituto Nacional de Estadistica y Censos. // Secretaría Nacional de Telecomunicaciones (SENATEL)		NA: Data nature not available	1.46	2.67	4.26	4.46	4.83	5.99	7.2	10.8	18.8	24.6	29.03	31.37	35.14	40.28	45.59	48.94	54.06	57.27	57.27	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	222	El Salvador	013	Central America	Country	SLV	1	-88.86862995	13.73603564	PER_100_POP	Per 100 population						Estimated based on Survey results. Population age 10+. // In the last 12 months. Individuals aged 10 and above. // Population age 10+.	DIGESTYC // Dirección General de Estadística y Censos. (DIGESTYC) // Dirección General de Estadística y Censos. (DIGESTYC). // ITU Estimate. // ITU estimate. // OSILAC, ECLAC. // Superintendencia General de Electricidad y Telecomunicaciones.		NA: Data nature not available	1.18	1.5	1.9	2.5	3.2	4.2	5.5	6.11	10.08	12.11	15.9	18.9	20.32	23.11	24.76	26.8	29.0	31.25	31.25	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	226	Equatorial Guinea	017	Middle Africa	Country	GNQ	1	10.46535826	1.565792376	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // La Société Anonyme de Télécommunications de la République de Guinée Equatoriale		NA: Data nature not available	0.13	0.17	0.32	0.52	0.84	1.15	1.28	1.56	1.82	2.13	6.0	11.5	13.94	16.4	18.86	21.32	23.78	26.24	26.24	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	231	Ethiopia	014	Eastern Africa	Country	ETH	1	39.63505296	8.631223181	PER_100_POP	Per 100 population							Ethiopian Telecommunication Agency // Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency. // ITU estimate. // Ministry of Communications and Information Technology.		NA: Data nature not available	0.02	0.04	0.07	0.11	0.16	0.22	0.31	0.37	0.45	0.54	0.75	1.1	2.9	4.6	7.7	13.86	15.37	18.62	18.62	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	232	Eritrea	014	Eastern Africa	Country	ERI	1	38.11074289	16.12894644	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate // ITU estimate.		NA: Data nature not available	0.14	0.16	0.23					0.41	0.47	0.54	0.61	0.7	0.8	0.9	0.99	1.08	1.18	1.31	1.31	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	233	Estonia	154	Northern Europe	Country	EST	1	25.84093481	58.68487172	PER_100_POP	Per 100 population						 Users in the last 3 months. //  Users in the last 3 months. Age 16-74. // Population age 16-74 in the last 3 months. // Population age 16-74.	Estonian Competition Authority // Eurostat. // ITU Estimate2. // Ministry of Economic Affairs and Communications estimate. // Ministry of Economic Affairs and Communications. // Statistical Office of Estonia // Statistical Office of Estonia.		NA: Data nature not available	28.58	31.53	41.52	45.32	53.2	61.45	63.51	66.19	70.58	72.5	74.1	76.5	78.39	80.0	84.24	87.24	87.24	88.1	88.1	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	234	Faroe Islands	154	Northern Europe	Country	FRO	0	-7.122044325	62.21228119	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // Post and Telecom Surveillance Authority		NA: Data nature not available	32.92	43.25	53.3	58.91	66.53	67.9	69.36	75.98	75.57	75.18	75.2	80.73	85.34	90.0	93.3	94.2	95.11	97.58	97.58	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	238	Falkland Islands (Malvinas)	005	South America	Country	FLK	0	-58.75246778	-51.74562601	PER_100_POP	Per 100 population							Cable & Wireless // Cable & Wireless South Atlantic Ltd // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate.		NA: Data nature not available	58.62	64.6	64.15	64.02	67.32	84.01	87.1	90.06	92.96	95.84	95.84	96.38	96.92	96.9	97.6	98.31	99.02		99.02	2016
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	239	South Georgia and the South Sandwich Islands	005	South America	Country	SGS	0	-36.90662765	-54.20736749																															
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	242	Fiji	054	Melanesia	Country	FJI	1	177.9660884	-17.83301566	PER_100_POP	Per 100 population							ITU Estimate. // ITU estimate. // ITU estimate.  // Ministry of Information, Communications & Media Relations. // Telecom Fiji.		NA: Data nature not available	1.5	1.86	6.15	6.73	7.41	8.45	9.6	10.9	13.0	17.0	20.0	28.0	33.74	35.2	37.4	42.5	46.51	49.97	49.97	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	246	Finland	154	Northern Europe	Country	FIN	1	23.308447	61.91586738	PER_100_POP	Per 100 population						 Users in the last 3 months. //  Users in the last 3 months. Age 16-74. // Break in series. Population aged 16-89. // Has used at least one other Internet application besides e-mail in last 3 months. Population age 15+. // Population age 16-74 using Internet in the last 3 months. // Population age 16-74. // Population age 16-74.   // Population aged 16-89. // Using at least one other Internet application besides e-mail in last 3 months. Population age 15+.	Eurostat. // Statistics Finland // Statistics Finland. // www.toy.fi.		NA: Data nature not available	37.25	43.11	62.43	69.22	72.39	74.48	79.66	80.78	83.67	82.49	86.89	88.71	89.88	91.51	86.53	86.42	87.7	87.47	87.47	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	248	Åland Islands	154	Northern Europe	Country	ALA	0	19.80945969	60.1544901																															
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	250	France	155	Western Europe	Country	FRA	1	2.457288129	46.62660861	PER_100_POP	Per 100 population						 Users in the last 3 months. //  Users in the last 3 months. Age 16-74. // Population age 11+, used in the last month. // Population age 15+ using internet in the last year. // Population age 16-74. // Scope : 15 years old and more // Scope : 15 years old and more. Break in comparability.	Eurostat // Eurostat. // Institut National de la Statistique et des Etudes Economiques // Médiamétrie.		NA: Data nature not available	14.31	26.33	30.18	36.14	39.15	42.87	46.87	66.09	70.68	71.58	77.28	77.82	81.44	81.92	83.75	78.01	79.27	80.5	80.5	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	254	French Guiana	005	South America	Country	GUF	0	-53.23619089	3.922673437	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU estimate.		NA: Data nature not available	9.69	11.62	13.92	16.55	19.5	20.79	22.06	23.31	24.53	25.7									25.7	2009
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	258	French Polynesia	061	Polynesia	Country	PYF	0	-149.4052367	-17.67709294	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // ITU estimate.  // Service des Postes et Télécommunications // Service des postes et télécommunications		NA: Data nature not available	6.36	6.25	8.2	14.12	17.88	21.54	25.11	28.59	33.87	44.6	49.0	49.0	52.88	56.8	60.68	64.56	68.44	72.7	72.7	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	260	French Southern Territories	014	Eastern Africa	Country	ATF	0	69.64849091	-49.6068576																															
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	262	Djibouti	014	Eastern Africa	Country	DJI	1	42.18274707	11.56004161	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // Direction de la Statistique et des Etudes Démographiques // ITU Estimate. // ITU estimate. // ITU estimate.  // Ministére de la Communication et de la Culture, chargé des Postes et des Télécommunications		NA: Data nature not available	0.19	0.34	0.49	0.63	0.78	0.95	1.27	1.62	2.26	4.0	6.5	7.0	8.27	9.5	10.71	11.92	13.13	55.68	55.68	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	266	Gabon	017	Middle Africa	Country	GAB	1	11.78727747	-0.60687619	PER_100_POP	Per 100 population							Gabon Telecom S.A. // ITU Estimate. // ITU estimate. // Office des postes et des télécommunications (OPT).		NA: Data nature not available	1.22	1.35	1.94	2.66	2.98	4.89	5.49	5.77	7.5	9.5	13.0	18.0	24.0	30.54	38.07	45.78	48.05	50.32	50.32	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	268	Georgia	145	Western Asia	Country	GEO	1	43.3713615	42.04813028	PER_100_POP	Per 100 population						6 years and older, reference period is the last 3 months // Population age 6+ in the last 12 months. // Population age 6+. Break in comparability, reference period in the last 3 months. // Survey value is 49.1% for population age 6+ using Internet in the last 12 months. The current value is an ITU estimate provided for comparability reasons with 2015 value, which corresponds to users in the last 3 months.	Georgian National Communications Commission // Georgian National Communications Commission (GNCC). // ITU estimate. // Ministry of Communications. // Ministry of Economy and Sustainable Development of Georgia // National Statistics Office of Georgia // National Statistics Office of Georgia (Geostat) // National Statistics Office of Georgia (Geostat).		NA: Data nature not available	0.48	0.99	1.59	2.56	3.89	6.08	7.53	8.26	10.01	20.07	26.9	31.52	36.94	43.3	44.0	47.57	59.26	60.49	60.49	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	270	Gambia	011	Western Africa	Country	GMB	1	-15.39944785	13.45295927	PER_100_POP	Per 100 population							ITU Estimate. // ITU estimate. // The Gambia Public Utilities Regulatory Authority // The Gambia Public Utilities Regulatory Authority.		NA: Data nature not available	0.92	1.34	1.8	2.44	3.31	3.8	5.24	6.21	6.88	7.63	9.2	10.87	12.45	14.0	15.56	16.5	18.5	19.84	19.84	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	275	State of Palestine	145	Western Asia	Country	PSE	0	35.25694122	31.94347933	PER_100_POP	Per 100 population						Population age 10+. // Refers to total population.	Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate based on Palestinian Central Bureau of Statistics // ITU estimate. // ITU estimate.  // Palestinian Central Bureau of Statistics		NA: Data nature not available	1.11	1.84	3.1	4.13	4.4	16.01	18.41	21.18	24.36	32.23	37.4	41.08	43.4	46.6	53.67	57.42	61.18	65.2	65.2	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	276	Germany	155	Western Europe	Country	DEU	1	10.3806066	51.08862743	PER_100_POP	Per 100 population						 Users in the last 3 months. //  Users in the last 3 months. Age 16-74. // Population 10+. // Population age 16-74 using Internet in the last 3 months. // Population age 16-74.	(N)onliner-Atlas. // Eurostat // Eurostat. // Federal Statistical Office // ITU Estimate2.		NA: Data nature not available	30.22	31.65	48.82	55.9	64.73	68.71	72.16	75.16	78.0	79.0	82.0	81.27	82.35	84.17	86.19	84.4	84.4	84.4	84.4	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	288	Ghana	011	Western Africa	Country	GHA	1	-1.205623522	7.964825185	PER_100_POP	Per 100 population						Break in comparability: persons 12 years and older. Based on Census 2010 results. // Ghana Living Standards Survey 2012/2013. The estimate is based on weighting households who use internet by the household size over the total estimated population. Sample weights have also been applied. The question was asked at household level.	Ghana Statistical Service // Ghana Statistical Service. // Ghana Telecom estimate. // Ghana Telecom. // ITU Estimate. // ITU estimate. // National Communications Authority // National Communications Authority (NCA).		NA: Data nature not available	0.15	0.2	0.83	1.19	1.72	1.83	2.72	3.85	4.27	5.44	7.8	9.0	10.6	15.0	25.52	31.45	34.67	37.88	37.88	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	292	Gibraltar	039	Southern Europe	Country	GIB	0	-5.347561686	36.13895036	PER_100_POP	Per 100 population							GNC Networks Limited. // Gibraltar Regulatory Authority // ITU Estimate. // ITU estimate. // ITU estimate. 		NA: Data nature not available	19.13	21.17	23.67	28.33	32.89	39.07	45.3	51.61	58.0	65.07	65.0	65.0	65.02				94.44		94.44	2016
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	296	Kiribati	057	Micronesia	Country	KIR	1	-157.5643005	1.768837732	PER_100_POP	Per 100 population							ITU Estimate. // ITU estimate. // NSO, 2006 Kiribati HIES // Telecommunications Authority of Kiribati		NA: Data nature not available	1.79	2.34	2.5	3.0	3.5	4.0	4.5	6.0	7.0	8.97	9.07	10.0	10.75	11.5	12.25	13.0	13.7	14.58	14.58	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	300	Greece	039	Southern Europe	Country	GRC	1	22.58307827	39.47301873	PER_100_POP	Per 100 population						 Users in the last 3 months. //  Users in the last 3 months. Age 16-74. // Population age 16-74, in the last 3 months. // Population age 16-74.	Eurostat // Eurostat. // Hellenic Statistical Authority. // Hellenic Telecommunications & Post Commission // Hellenic Telecommunications & Post Commission (EETT). // Hellenic Telecommunications & Post Commission and EL.STAT // ITU estimate.		NA: Data nature not available	9.14	10.94	14.67	17.8	21.42	24.0	32.25	35.88	38.2	42.4	44.4	51.65	55.07	59.87	63.21	66.84	69.09	69.89	69.89	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	304	Greenland	021	Northern America	Country	GRL	0	-41.39371316	74.75625681	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // TELE Greenland // Tele Greenland A/S		NA: Data nature not available	31.75	35.46	44.15	54.53	56.1	57.7	59.36	61.07	62.82	62.83	63.0	64.0	64.9	65.8	66.7	67.6	68.5	69.48	69.48	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	308	Grenada	029	Caribbean	Country	GRD	1	-61.68248568	12.11238395	PER_100_POP	Per 100 population							Cable & Wireless Grenada Ltd. trading as LIME // Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ECTEL // ITU Estimate. // ITU estimate.		NA: Data nature not available	4.06	5.13	14.76	18.65	19.57	20.49	21.4	22.29	23.18	24.05	27.0	30.0	32.0	35.0	51.6	53.81	55.86	59.07	59.07	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	312	Guadeloupe	029	Caribbean	Country	GLP	0	-61.64762115	16.14416917	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU estimate.		NA: Data nature not available	5.83	9.2	11.35	14.12	17.51	18.66	19.83	21.02	22.22	23.42									23.42	2009
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	316	Guam	057	Micronesia	Country	GUM	0	144.7029305	13.35485404	PER_100_POP	Per 100 population							Guam Telephone Authority. // ITU Estimate. // ITU estimate.		NA: Data nature not available	16.11	25.38	31.19	33.72	36.16	38.56	43.85	46.15	48.42	50.64	54.04	57.7	61.53	65.4	69.27	73.14	77.01	80.51	80.51	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	320	Guatemala	013	Central America	Country	GTM	1	-91.2312746	15.00273719	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate.		NA: Data nature not available	0.71	1.74	3.39	4.55	5.1	5.7	6.5	7.3	8.3	9.3	10.5	12.3	16.0	19.7	23.4	28.81	34.51	40.7	40.7	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	324	Guinea	011	Western Africa	Country	GIN	1	-11.28173419	11.00210343	PER_100_POP	Per 100 population						Based on operators' information.	Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // ITU estimate.  // Ministère de la Communication et des Nouvelles Technologies de l'Information // Ministère de la Communication et des Nouvelles Technologies de l'Information.		NA: Data nature not available	0.1	0.18	0.4	0.45	0.51	0.54	0.64	0.78	0.92	0.94	1.0	2.0	3.1	4.5	6.4	8.2	9.8	11.4	11.4	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	328	Guyana	005	South America	Country	GUY	1	-58.97322037	4.788012784	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate. // National Frequency Management Unit		NA: Data nature not available	6.61	13.21						13.8	18.2	23.9	29.9	30.0	30.5	31.0	32.0	34.0	35.66	37.33	37.33	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	332	Haiti	029	Caribbean	Country	HTI	1	-72.33640958	18.40426539	PER_100_POP	Per 100 population							Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU) // ITU Estimate. // ITU estimate.		NA: Data nature not available	0.23	0.34	0.89	1.65	5.4	6.38	6.8	7.2	7.6	8.1	8.37	9.0	9.8	10.6	11.4	12.2	12.23	12.33	12.33	2017
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	334	Heard Island and McDonald Islands	053	Australia and New Zealand	Country	HMD	0	73.52633626	-53.09106147																															
17	17.8	17.8.1	IT_USE_ii99	Internet users per 100 inhabitants	2019.Q1.G.03	336	Holy See	039	Southern Europe	Country	VAT	0	12.45315803	41.90343751																															
