goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	modeOfTransportationCode	modeOfTransportationDesc	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2016	value_latest_year	latest_year
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	012	Algeria	015	Northern Africa	Country	DZA	1	2.678164227	28.15940032	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	78829868937.0	78829868937.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	AIR	Air transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	RAI	Rail transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	016	American Samoa	061	Polynesia	Country	ASM	0	-170.7187269	-14.30587306	ROA	Road transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	AIR	Air transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	RAI	Rail transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	020	Andorra	039	Southern Europe	Country	AND	1	1.576257417	42.54548611	ROA	Road transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	43631633.0	43631633.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	765667333.0	765667333.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	024	Angola	017	Middle Africa	Country	AGO	1	17.57817062	-12.33724746	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	8530860444.0	8530860444.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	549187.0	549187.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	RAI	Rail transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	028	Antigua and Barbuda	029	Caribbean	Country	ATG	1	-61.7999755	17.07761471	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	512880676.0	512880676.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	732789755.0	732789755.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	5192000000.0	5192000000.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	031	Azerbaijan	145	Western Asia	Country	AZE	1	50.01064725	40.39229544	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	16486000000.0	16486000000.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	254181414.0	254181414.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	13235350394.0	13235350394.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	032	Argentina	005	South America	Country	ARG	1	-65.14563274	-35.19446255	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	121992988314.0	121992988314.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	1902075477.0	1902075477.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	388262648982.0	388262648982.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	216425325225.0	216425325225.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	387739000.0	387739000.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	20856000000.0	20856000000.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	18091000000.0	18091000000.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	174804.0	174804.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597	RAI	Rail transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	2237508150.0	2237508150.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	263423000.0	263423000.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	824720000.0	824720000.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	12381200000.0	12381200000.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	050	Bangladesh	034	Southern Asia	Country	BGD	1	89.17660788	22.86961622	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	53979162.0	53979162.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	050	Bangladesh	034	Southern Asia	Country	BGD	1	89.17660788	22.86961622	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	1227376265.0	1227376265.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	050	Bangladesh	034	Southern Asia	Country	BGD	1	89.17660788	22.86961622	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	18113939103.0	18113939103.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	051	Armenia	145	Western Asia	Country	ARM	1	44.93839317	40.29499741	AIR	Air transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	051	Armenia	145	Western Asia	Country	ARM	1	44.93839317	40.29499741	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	816530211.0	816530211.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	051	Armenia	145	Western Asia	Country	ARM	1	44.93839317	40.29499741	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	565601472.0	565601472.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	052	Barbados	029	Caribbean	Country	BRB	1	-59.5346489	13.13648273	AIR	Air transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	052	Barbados	029	Caribbean	Country	BRB	1	-59.5346489	13.13648273	RAI	Rail transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	052	Barbados	029	Caribbean	Country	BRB	1	-59.5346489	13.13648273	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	1149871156.0	1149871156.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	056	Belgium	155	Western Europe	Country	BEL	1	4.660976456	50.64104975	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	1500475232.0	1500475232.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	056	Belgium	155	Western Europe	Country	BEL	1	4.660976456	50.64104975	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	5694695808.0	5694695808.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	056	Belgium	155	Western Europe	Country	BEL	1	4.660976456	50.64104975	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	46234679688.0	46234679688.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	060	Bermuda	021	Northern America	Country	BMU	0	-64.78155012	32.27881922	AIR	Air transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	060	Bermuda	021	Northern America	Country	BMU	0	-64.78155012	32.27881922	RAI	Rail transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	060	Bermuda	021	Northern America	Country	BMU	0	-64.78155012	32.27881922	ROA	Road transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	064	Bhutan	034	Southern Asia	Country	BTN	1	90.45098484	27.39598568	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	659101.0	659101.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	064	Bhutan	034	Southern Asia	Country	BTN	1	90.45098484	27.39598568	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	362029157.0	362029157.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	064	Bhutan	034	Southern Asia	Country	BTN	1	90.45098484	27.39598568	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	1027002595.0	1027002595.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	068	Bolivia (Plurinational State of)	005	South America	Country	BOL	1	-64.66224284	-16.71273412	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	9008756.0	9008756.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	068	Bolivia (Plurinational State of)	005	South America	Country	BOL	1	-64.66224284	-16.71273412	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	2258226362.0	2258226362.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	068	Bolivia (Plurinational State of)	005	South America	Country	BOL	1	-64.66224284	-16.71273412	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	20094245491.0	20094245491.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	070	Bosnia and Herzegovina	039	Southern Europe	Country	BIH	1	17.78584332	44.16845548	AIR	Air transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	070	Bosnia and Herzegovina	039	Southern Europe	Country	BIH	1	17.78584332	44.16845548	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	1366299845.0	1366299845.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	070	Bosnia and Herzegovina	039	Southern Europe	Country	BIH	1	17.78584332	44.16845548	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	3508599905.0	3508599905.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	072	Botswana	018	Southern Africa	Country	BWA	1	23.81380223	-22.18810073	AIR	Air transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	072	Botswana	018	Southern Africa	Country	BWA	1	23.81380223	-22.18810073	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	807575952.0	807575952.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	072	Botswana	018	Southern Africa	Country	BWA	1	23.81380223	-22.18810073	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	2228408158.0	2228408158.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	074	Bouvet Island	005	South America	Country	BVT	0	3.410732868	-54.43295905	AIR	Air transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	074	Bouvet Island	005	South America	Country	BVT	0	3.410732868	-54.43295905	RAI	Rail transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	074	Bouvet Island	005	South America	Country	BVT	0	3.410732868	-54.43295905	ROA	Road transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	076	Brazil	005	South America	Country	BRA	1	-53.08432878	-10.77668561	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	1513832873.0	1513832873.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	076	Brazil	005	South America	Country	BRA	1	-53.08432878	-10.77668561	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	258859214534.0	258859214534.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	076	Brazil	005	South America	Country	BRA	1	-53.08432878	-10.77668561	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	250781360601.0	250781360601.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	084	Belize	013	Central America	Country	BLZ	1	-88.70199554	17.19965901	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	2689022.0	2689022.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	084	Belize	013	Central America	Country	BLZ	1	-88.70199554	17.19965901	RAI	Rail transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	084	Belize	013	Central America	Country	BLZ	1	-88.70199554	17.19965901	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	672604394.0	672604394.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	086	British Indian Ocean Territory	014	Eastern Africa	Country	IOT	0	72.38715553	-7.299281071	AIR	Air transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	086	British Indian Ocean Territory	014	Eastern Africa	Country	IOT	0	72.38715553	-7.299281071	RAI	Rail transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	086	British Indian Ocean Territory	014	Eastern Africa	Country	IOT	0	72.38715553	-7.299281071	ROA	Road transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	090	Solomon Islands	054	Melanesia	Country	SLB	1	160.1584117	-9.622391719	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	3595604.0	3595604.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	090	Solomon Islands	054	Melanesia	Country	SLB	1	160.1584117	-9.622391719	RAI	Rail transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	090	Solomon Islands	054	Melanesia	Country	SLB	1	160.1584117	-9.622391719	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	182033569.0	182033569.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	092	British Virgin Islands	029	Caribbean	Country	VGB	0	-64.63294223	18.42256578	AIR	Air transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	092	British Virgin Islands	029	Caribbean	Country	VGB	0	-64.63294223	18.42256578	RAI	Rail transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	092	British Virgin Islands	029	Caribbean	Country	VGB	0	-64.63294223	18.42256578	ROA	Road transport														
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	096	Brunei Darussalam	035	South-Eastern Asia	Country	BRN	1	114.6288563	4.49736984	AIR	Air transport	T_KM	Tonne kilometres			G	Global			International Civil Aviation Organization (ICAO)		NA: Data nature not available	124259000.0	124259000.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	096	Brunei Darussalam	035	South-Eastern Asia	Country	BRN	1	114.6288563	4.49736984	RAI	Rail transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	135659955.0	135659955.0	2016
9	9.1	9.1.2	IS_RDP_FRGVOL	Freight volume, by mode of transport (tonne kilometres)	2019.Q1.G.03	096	Brunei Darussalam	035	South-Eastern Asia	Country	BRN	1	114.6288563	4.49736984	ROA	Road transport	T_KM	Tonne kilometres			G	Global			The International Transport Forum at the OECD (ITF-OECD)		NA: Data nature not available	6224514446.0	6224514446.0	2016
