refAreaCode,codeType_Code,codeType_DescEN,codeType_DescFR
504,,Area,
505,,Area,
506,,Area,
507,,Area,
508,,Area,
512,,Area,
516,,Area,
517,,Group,
518,,Group,
519,,Group,
520,,Area,
521,,Group,
522,,Group,
523,,Group,
524,,Area,
525,,Group,
526,,Group,
527,,Region,
528,,Area,
529,,Group,
530,,Area,
531,,Area,
532,,Area,
533,,Area,
534,,Area,
535,,Area,
536,,Area,
537,,Group,
538,,Group,
539,,Group,
540,,Area,
541,,Group,
542,,Group,
543,,Region,
544,,Area,
545,,Group,
546,,Area,
547,,Area,
548,,Area,
550,,Group,
551,,Group,
552,,Group,
553,,Group,
554,,Area,
555,,Area,
556,,Area,
557,,Group,
558,,Area,
559,,Group,
560,,Group,
561,,Group,
562,,Area,
563,,Group,
564,,Group,
565,,Group,
566,,Area,
568,,Region,
569,,Group,
570,,Area,
571,,Group,
572,,Group,
573,,Group,
574,,Area,
575,,Group,
577,,Region,
578,,Area,
579,,Area,
580,,Area,
581,,Area,
582,,Area,
583,,Area,
584,,Area,
585,,Area,
586,,Area,
588,,Area,
590,,Area,
591,,Area,
592,,Area,
593,,Agency,
594,,Group,
595,,Group,
596,,Area,
597,,Group,
598,,Area,
600,,Area,
602,,Group,
604,,Area,
608,,Area,
612,,Area,
616,,Area,
620,,Area,
624,,Area,
626,,Area,
627,,Group,
630,,Area,
633,,Agency,
634,,Area,
636,,Region,
638,,Area,
642,,Area,
643,,Area,
644,,Agency,
645,,Area,
646,,Area,
647,,Area,
648,,Agency,
649,,Agency,
650,,Area,
651,,Agency,
652,,Area,
653,,Area,
654,,Area,
655,,Area,
656,,Area,
657,,Area,
658,,Area,
659,,Area,
660,,Area,
662,,Area,
663,,Area,
666,,Area,
667,,Area,
668,,Area,
669,,Area,
670,,Area,
674,,Area,
678,,Area,
680,,Area,
682,,Area,
684,,Area,
685,,Area,
686,,Area,
688,,Area,
689,,Agency,
690,,Area,
692,,Group,
693,,Group,
694,,Area,
695,,Group,
697,,Group,
698,,Area,
699,,Area,
702,,Area,
703,,Area,
704,,Area,
705,,Area,
706,,Area,
707,,Area,
708,,Area,
709,,Region,
710,,Area,
711,,Group,
712,,Area,
713,,Region,
714,,Region,
715,,Region,
716,,Area,
717,,Area,
718,,Group,
719,,Group,
720,,Area,
722,,Group,
724,,Area,
725,,Area,
727,,Area,
728,,Area,
729,,Area,
730,,Agency,
731,,Agency,
732,,Area,
733,,Agency,
734,,Agency,
735,,Agency,
736,,Area,
738,,Group,
740,,Area,
741,,Region,
742,,Region,
743,,Group,
744,,Area,
745,,Group,
746,,Group,
747,,Region,
748,,Area,
749,,Group,
750,,Group,
751,,Group,
752,,Area,
753,,Region,
756,,Area,
757,,Area,
760,,Area,
762,,Area,
764,,Area,
768,,Area,
772,,Area,
776,,Area,
778,,Group,
780,,Area,
783,,Area,
784,,Area,
785,,Area,
786,,Area,
787,,Area,
788,,Area,
789,,Area,
790,,Area,
791,,Area,
792,,Area,
793,,Area,
795,,Area,
796,,Area,
798,,Area,
800,,Area,
804,,Area,
806,,Agency,
807,,Area,
808,,Agency,
809,,Agency,
810,,Area,
811,,Area,
813,,Agency,
814,,Agency,
815,,Agency,
816,,Agency,
818,,Area,
819,,Agency,
820,,Agency,
821,,Agency,
823,,Agency,
824,,Area,
825,,Area,
826,,Area,
827,,Area,
828,,Area,
829,,Area,
830,,Area,
831,,Area,
832,,Area,
833,,Area,
834,,Area,
835,,Area,
836,,Area,
837,,Other,
838,,Other,
839,,Other,
840,,Area,
841,,Area,
842,,Area,
843,,Agency,
844,,Agency,
847,,Area,
848,,Area,
849,,Area,
850,,Area,
851,,Area,
852,,Area,
853,,Area,
854,,Area,
855,,Area,
857,,Agency,
858,,Area,
860,,Area,
862,,Area,
866,,Area,
868,,Area,
869,,Agency,
870,,Agency,
871,,Agency,
872,,Area,
873,,Agency,
874,,Agency,
875,,Region,
876,,Area,
877,,Area,
878,,Group,
879,,Region,
880,,Agency,
881,,Region,
882,,Area,
883,,Area,
884,,Group,
885,,Agency,
886,,Area,
887,,Area,
888,,Agency,
889,,Agency,
890,,Area,
891,,Area,
892,,Group,
894,,Area,
896,,Other,
898,,Other,
899,,Other,
134,,Group,
135,,Group,
285,,Region,
286,,Region,
287,,Region,
291,,Region,
293,,Region,
513,,Region,
514,,Group,
515,,Group,
