refAreaCode,ISO3CD_Code,ISO3CD_DescEN,ISO3CD_DescFR
328,GUY,ISO-3 code,
332,HTI,ISO-3 code,
334,HMD,ISO-3 code,
336,VAT,ISO-3 code,
340,HND,ISO-3 code,
344,HKG,ISO-3 code,
348,HUN,ISO-3 code,
352,ISL,ISO-3 code,
356,IND,ISO-3 code,
360,IDN,ISO-3 code,
364,IRN,ISO-3 code,
368,IRQ,ISO-3 code,
372,IRL,ISO-3 code,
376,ISR,ISO-3 code,
380,ITA,ISO-3 code,
384,CIV,ISO-3 code,
388,JAM,ISO-3 code,
392,JPN,ISO-3 code,
396,JTN,ISO-3 code,
398,KAZ,ISO-3 code,
400,JOR,ISO-3 code,
404,KEN,ISO-3 code,
408,PRK,ISO-3 code,
410,KOR,ISO-3 code,
414,KWT,ISO-3 code,
417,KGZ,ISO-3 code,
418,LAO,ISO-3 code,
422,LBN,ISO-3 code,
426,LSO,ISO-3 code,
428,LVA,ISO-3 code,
430,LBR,ISO-3 code,
434,LBY,ISO-3 code,
438,LIE,ISO-3 code,
440,LTU,ISO-3 code,
442,LUX,ISO-3 code,
446,MAC,ISO-3 code,
450,MDG,ISO-3 code,
454,MWI,ISO-3 code,
458,MYS,ISO-3 code,
462,MDV,ISO-3 code,
466,MLI,ISO-3 code,
470,MLT,ISO-3 code,
474,MTQ,ISO-3 code,
478,MRT,ISO-3 code,
480,MUS,ISO-3 code,
484,MEX,ISO-3 code,
488,MID,ISO-3 code,
492,MCO,ISO-3 code,
496,MNG,ISO-3 code,
498,MDA,ISO-3 code,
499,MNE,ISO-3 code,
500,MSR,ISO-3 code,
504,MAR,ISO-3 code,
508,MOZ,ISO-3 code,
512,OMN,ISO-3 code,
516,NAM,ISO-3 code,
520,NRU,ISO-3 code,
524,NPL,ISO-3 code,
528,NLD,ISO-3 code,
530,ANT,ISO-3 code,
531,CUW,ISO-3 code,
532,XANT,ISO-3 code,
533,ABW,ISO-3 code,
534,SXM,ISO-3 code,
535,BES,ISO-3 code,
536,NTZ,ISO-3 code,
540,NCL,ISO-3 code,
548,VUT,ISO-3 code,
554,NZL,ISO-3 code,
558,NIC,ISO-3 code,
562,NER,ISO-3 code,
566,NGA,ISO-3 code,
570,NIU,ISO-3 code,
574,NFK,ISO-3 code,
578,NOR,ISO-3 code,
580,MNP,ISO-3 code,
581,UMI,ISO-3 code,
582,PCI,ISO-3 code,
583,FSM,ISO-3 code,
584,MHL,ISO-3 code,
585,PLW,ISO-3 code,
586,PAK,ISO-3 code,
590,XPAN,ISO-3 code,
591,PAN,ISO-3 code,
592,PCZ,ISO-3 code,
598,PNG,ISO-3 code,
600,PRY,ISO-3 code,
604,PER,ISO-3 code,
608,PHL,ISO-3 code,
612,PCN,ISO-3 code,
616,POL,ISO-3 code,
620,PRT,ISO-3 code,
624,GNB,ISO-3 code,
626,TLS,ISO-3 code,
630,PRI,ISO-3 code,
634,QAT,ISO-3 code,
638,REU,ISO-3 code,
642,ROU,ISO-3 code,
643,RUS,ISO-3 code,
646,RWA,ISO-3 code,
652,BLM,ISO-3 code,
654,SHN,ISO-3 code,
658,XKNA,ISO-3 code,
659,KNA,ISO-3 code,
660,AIA,ISO-3 code,
662,LCA,ISO-3 code,
663,MAF,ISO-3 code,
666,SPM,ISO-3 code,
670,VCT,ISO-3 code,
674,SMR,ISO-3 code,
678,STP,ISO-3 code,
682,SAU,ISO-3 code,
686,SEN,ISO-3 code,
688,SRB,ISO-3 code,
690,SYC,ISO-3 code,
694,SLE,ISO-3 code,
698,SKM,ISO-3 code,
702,SGP,ISO-3 code,
703,SVK,ISO-3 code,
704,VNM,ISO-3 code,
705,SVN,ISO-3 code,
706,SOM,ISO-3 code,
710,ZAF,ISO-3 code,
716,ZWE,ISO-3 code,
720,YMD,ISO-3 code,
724,ESP,ISO-3 code,
728,SSD,ISO-3 code,
729,SDN,ISO-3 code,
732,ESH,ISO-3 code,
736,XSDN,ISO-3 code,
740,SUR,ISO-3 code,
744,SJM,ISO-3 code,
748,SWZ,ISO-3 code,
752,SWE,ISO-3 code,
756,CHE,ISO-3 code,
760,SYR,ISO-3 code,
762,TJK,ISO-3 code,
764,THA,ISO-3 code,
768,TGO,ISO-3 code,
772,TKL,ISO-3 code,
776,TON,ISO-3 code,
780,TTO,ISO-3 code,
784,ARE,ISO-3 code,
788,TUN,ISO-3 code,
792,TUR,ISO-3 code,
795,TKM,ISO-3 code,
796,TCA,ISO-3 code,
798,TUV,ISO-3 code,
800,UGA,ISO-3 code,
804,UKR,ISO-3 code,
807,MKD,ISO-3 code,
810,SUN,ISO-3 code,
818,EGY,ISO-3 code,
826,GBR,ISO-3 code,
831,GGY,ISO-3 code,
832,JEY,ISO-3 code,
833,IMN,ISO-3 code,
834,TZA,ISO-3 code,
840,USA,ISO-3 code,
849,PUS,ISO-3 code,
850,VIR,ISO-3 code,
854,BFA,ISO-3 code,
858,URY,ISO-3 code,
860,UZB,ISO-3 code,
862,VEN,ISO-3 code,
866,VDR,ISO-3 code,
868,XVNM,ISO-3 code,
872,WAK,ISO-3 code,
876,WLF,ISO-3 code,
882,WSM,ISO-3 code,
886,XYEM,ISO-3 code,
887,YEM,ISO-3 code,
890,XYUG,ISO-3 code,
891,YUG,ISO-3 code,
894,ZMB,ISO-3 code,
