refAreaCode,capitalCity_Code,capitalCity_DescEN,capitalCity_DescFR
566,21976,Abuja,Abuja
578,22028,Oslo,Oslo
586,22042,Islamabad,Islamabad
591,22063,Panama City,Panama
598,22064,Port Moresby,Port Moresby
600,22065,Asunción,Asunción
604,22078,Lima,Lima
608,22109,Manila,Manille
616,22161,Warsaw,Varsovie
620,22167,Lisbon,Lisbonne
624,22171,Bissau,Bissau
630,22177,San Juan,San Juan
634,22179,Doha,Doha
642,22191,Bucharest,Bucarest
643,22299,Moscow,Moscou
646,22404,Kigali,Kigali
682,22432,Riyadh,Riyad
686,22439,Dakar,Dakar
688,23241,Belgrade,Belgrade
694,22445,Freetown,Freetown
702,22447,Singapore,Singapour
703,22448,Bratislava,Bratislava
704,22457,Hanoi,Hanoï
706,22477,Mogadishu,Mogadiscio
710,22501,Pretoria,Pretoria
716,22513,Harare,Harare
724,22549,Madrid,Madrid
728,22577,Juba,Djouba
729,22579,Khartoum,Khartoum
752,22597,Stockholm,Stockholm
756,22601,Bern,Berne
760,22610,Damascus,Damas
762,22615,Dushanbe,Douchanbé
764,22617,Bangkok,Bangkok
768,22628,Lomé,Lomé
784,22632,Abu Dhabi,Abou Dhabi
788,22646,Tunis,Tunis
792,22656,Ankara,Ankara
795,22739,Ashgabat,Achgabat
800,22744,Kampala,Kampala
804,22765,Kyiv,Kiev
807,22802,Skopje,Skopje
818,22812,Cairo,Le Caire
826,22860,London,Londres
834,22895,Dodoma,Dodoma
840,23174,"Washington, D.C.","Washington, D.C."
854,23192,Ouagadougou,Ouagadougou
858,23193,Montevideo,Montevideo
860,23209,Tashkent,Tachkent
862,23217,Caracas,Caracas
887,23239,Sana'a,Sanaa
894,23277,Lusaka,Lusaka
16,20047,Pago Pago,Pago Pago
20,20048,Andorra la Vella,Andorre-la-Vieille
28,20052,Saint John's,Saint-Johns
44,20108,Nassau,Nassau
52,20141,Bridgetown,Bridgetown
60,20150,Hamilton,Hamilton
64,20151,Thimphu,Thimphou
72,20167,Gaborone,Gaborone
84,20310,Belmopan,Belmopan
90,20311,Honiara,Honiara
92,20313,Road Town,Road Town
96,20314,Bandar Seri Begawan,Bandar Seri Begawan
132,20408,Praia,Praïa
136,20409,George Town,George Town
174,20847,Moroni,Moroni
175,205636,Mamoudzou,Mamoudzou
184,20860,Avarua,Avarua
196,20880,Nicosia,Nicosie
212,20896,Roseau,Roseau
226,20920,Malabo,Malabo
234,20934,Tórshavn,Tórshavn
238,20935,Stanley,Stanley
242,20936,Suva,Suva
254,21002,Cayenne,Cayenne
258,21004,Papeete,Papeete
292,21111,Gibraltar,Gibraltar
296,21112,Bairiki,Bairiki
304,21119,Nuuk,Nuuk
308,21120,Saint George's,Saint-Georges
312,21121,Basse-Terre,Basse-Terre
316,21123,Hagåtña,Hagåtña
328,21131,Georgetown,Georgetown
336,21134,Vatican City,Cité du Vatican
352,21147,Reykjavik,Reykjavik
426,21775,Maseru,Maseru
438,21783,Vaduz,Vaduz
442,21790,Luxembourg,Luxembourg
462,21817,Male,Malé
470,21819,Valletta,La Valette
474,21820,Fort-de-France,Fort-de-France
480,21822,Port Louis,Port-Louis
492,21881,Monaco,Monaco
499,23256,Podgorica,Podgorica
500,204440,Brades Estate,Brades Estate
520,21926,Yaren,Yaren
531,21953,Willemstad,Willemstad
533,21954,Oranjestad,Oranjestad
534,206154,Philipsburg,Philipsburg
535,206155,Kralendijk,Kralendijk
540,21955,Nouméa,Nouméa
548,21956,Port Vila,Port-Vila
570,22025,Alofi,Alofi
580,22031,Garapan,Garapan
583,22032,Palikir,Palikir
584,22033,Majuro,Majuro
585,22034,Melekeok,Melekeok
626,22172,Dili,Dili
638,22180,Saint-Denis,Saint-Denis
654,22405,Jamestown,Jamestown
659,22406,Basseterre,Basseterre
660,22407,The Valley,The Valley
662,22408,Castries,Castries
666,22409,Saint-Pierre,Saint-Pierre
670,22410,Kingstown,Kingstown
674,22411,San Marino,Saint-Marin
678,22412,Sao Tome,Sao Tomé
690,22444,Victoria,Victoria
705,22474,Ljubljana,Ljubljana
732,22571,El Aaiún,El Aaiún
740,22587,Paramaribo,Paramaribo
748,22588,Mbabane,Mbabane
772,22629,Tokelau,Tokélaou
776,22630,Nuku'alofa,Nuku'alofa
780,22631,Port of Spain,Port of Spain
796,22742,Cockburn Town,Cockburn Town
798,22743,Funafuti,Funafuti
830,22891,Saint Helier,Saint-Hélier
833,22892,Douglas,Douglas
850,23190,Charlotte Amalie,Charlotte Amalie
876,23235,Matu-Utu,Matu-Utu
882,23236,Apia,Apia
158,895000149,Taibei,Taibei
