refAreaCode,nationalCurrency_Code,nationalCurrency_DescEN,nationalCurrency_DescFR
136,KYD,Cayman Islands Dollar (KYD),dollar des Îles Caïmanes (KYD)
140,XAF,"CFA Franc, BEAC (XAF)","franc CFA, BEAC (XAF)"
144,LKR,Sri Lanka Rupee (LKR),roupie sri-lankaise (LKR)
148,XAF,"CFA Franc, BEAC (XAF)","franc CFA, BEAC (XAF)"
152,CLP,Chilean Peso (CLP),peso chilien (CLP)
153,CLP,Chilean Peso (CLP),peso chilien (CLP)
156,CNY,Yuan Renminbi (CNY),yuan (CNY)
158,TWD,New Taiwan Dollar (TWD),nouv. dollar de Taïwan (TWD)
162,AUD,Australian dollar (AUD),dollar australien (AUD)
166,AUD,Australian dollar (AUD),dollar australien (AUD)
170,COP,Colombian Peso (COP),peso colombien (COP)
174,KMF,Comorian Franc (KMF),franc comorien (KMF)
175,EUR,Euro (EUR),euro (EUR)
178,XAF,"CFA Franc, BEAC (XAF)","franc CFA, BEAC (XAF)"
180,CDF,Congolese Franc (CDF),franc congolais (CDF)
184,NZD,New Zealand Dollar (NZD),dollar néo-zélandais (NZD)
185,AUD,Australian dollar (AUD),dollar australien (AUD)
188,CRC,Costa Rican Colon (CRC),colon costaricien (CRC)
191,HRK,Kuna (HRK),kuna (HRK)
192,CUP,Cuban Peso (CUP),peso cubain (CUP)
196,EUR,Euro (EUR),euro (EUR)
200,CSK,Koruna (CSK),couronne (CSK)
203,CZK,Czech Koruna (CZK),couronne tchèque (CZK)
204,XOF,"CFA Franc, BCEAO (XOF)","franc CFA, BCEAO (XOF)"
208,DKK,Danish Krone (DKK),couronne danoise (DKK)
212,XCD,E. Caribbean Dollar (XCD),dollar des Caraïb. (XCD)
214,DOP,Dominican Peso (DOP),peso dominicain (DOP)
216,NOK,Norwegian Krone (NOK),couronne norvégienne (NOK)
218,USD,US Dollar (USD),dollar des É.-U. (USD)
222,USD,US Dollar (USD),dollar des É.-U. (USD)
226,XAF,"CFA Franc, BEAC (XAF)","franc CFA, BEAC (XAF)"
227,GQE,Ekwele (GQE),epkwele (GQE)
228,GQE,Ekwele (GQE),epkwele (GQE)
230,ETB,Ethiopian Birr (ETB),birr éthiopien (ETB)
231,ETB,Ethiopian Birr (ETB),birr éthiopien (ETB)
232,ERN,Nakfa (ERN),nakfa (ERN)
233,EUR,Euro (EUR),euro (EUR)
234,DKK,Danish Krone (DKK),couronne danoise (DKK)
238,FKP,Falkland Islands Pound (FKP),livre de Îles Falkland (FKP)
242,FJD,Fiji Dollar (FJD),dollar des Fidji (FJD)
246,EUR,Euro (EUR),euro (EUR)
248,EUR,Euro (EUR),euro (EUR)
250,EUR,Euro (EUR),euro (EUR)
253,EUR,Euro (EUR),euro (EUR)
254,EUR,Euro (EUR),euro (EUR)
258,XPF,CFP Franc (XPF),franc CFP (XPF)
260,EUR,Euro (EUR),euro (EUR)
262,DJF,Djibouti Franc (DJF),franc Djibouti (DJF)
266,XAF,"CFA Franc, BEAC (XAF)","franc CFA, BEAC (XAF)"
268,GEL,Lari (GEL),lari (GEL)
270,GMD,Dalasi (GMD),dalasi (GMD)
276,EUR,Euro (EUR),euro (EUR)
278,DDM,Mark der DDR (DDM),deutsche mark (DDM)
280,DEM,Deutsche mark (DEM),deutsche mark (DEM)
288,GHS,Ghana Cedi (GHS),cedi ghanéen (GHS)
292,GIP,Gibraltar Pound (GIP),livre de Gibraltar (GIP)
296,AUD,Australian Dollar (AUD),dollar australien (AUD)
300,EUR,Euro (EUR),euro (EUR)
304,DKK,Danish Krone (DKK),couronne danoise (DKK)
308,XCD,E. Caribbean Dollar (XCD),dollar des Caraïb. (XCD)
312,EUR,Euro (EUR),euro (EUR)
316,USD,US Dollar (USD),dollar des É.-U. (USD)
320,GTQ,Quetzal (GTQ),quetzal (GTQ)
324,GNF,Guinean Franc (GNF),franc guinéen (GNF)
328,GYD,Guyana Dollar (GYD),dollar guyanien (GYD)
332,HTG,Gourde (HTG),gourde (HTG)
334,AUD,Australian Dollar (AUD),dollar australien (AUD)
336,EUR,Euro (EUR),euro (EUR)
340,HNL,Lempira (HNL),lempira (HNL)
344,HKD,Hong Kong Dollar (HKD),dollar de Hong Kong (HKD)
348,HUF,Forint (HUF),forint (HUF)
352,ISK,Iceland Krona (ISK),couronne islandaise (ISK)
356,INR,Indian Rupee (INR),roupie indienne (INR)
360,IDR,Rupiah (IDR),rupiah (IDR)
361,IDR,Rupiah (IDR),rupiah indonésienne (IDR)
364,IRR,Iranian Rial (IRR),rial iranien (IRR)
368,IQD,Iraqi Dinar (IQD),dinar iraquien (IQD)
372,EUR,Euro (EUR),euro (EUR)
376,ILS,New Israeli Sheqel (ILS),nouv. shekel israélien (ILS)
380,EUR,Euro (EUR),euro (EUR)
384,XOF,"CFA Franc, BCEAO (XOF)","franc CFA, BCEAO (XOF)"
388,JMD,Jamaican Dollar (JMD),dollar jamaïcain (JMD)
392,JPY,Yen (JPY),yen (JPY)
393,JPY,Yen (JPY),yen (JPY)
394,JPY,Yen (JPY),yen (JPY)
396,USD,US Dollar (USD),dollar des É.-U. (USD)
398,KZT,Tenge (KZT),tenge (KZT)
400,JOD,Jordanian Dinar (JOD),dinar jordanien (JOD)
401,JOD,Jordanian Dinar (JOD),dinar jordanien (JOD)
404,KES,Kenyan Shilling (KES),shilling kényan (KES)
408,KPW,North Korean Won (KPW),won nord-coréen (KPW)
410,KRW,South Korean Won (KRW),won sud-coréen (KRW)
414,KWD,Kuwaiti Dinar (KWD),dinar koweïtien (KWD)
417,KGS,Som (KGS),som (KGS)
418,LAK,Lao Kip (LAK),Lao kip (LAK)
422,LBP,Lebanese Pound (LBP),livre libanaise (LBP)
426,LSL,Loti (LSL),loti (LSL)
428,EUR,Euro (EUR),euro (EUR)
430,LRD,Liberian Dollar (LRD),dollar libérien (LRD)
434,LYD,Libyan Dinar (LYD),dinar libyen (LYD)
438,CHF,Swiss Franc (CHF),franc suisse (CHF)
440,EUR,Euro (EUR),euro (EUR)
442,EUR,Euro (EUR),euro (EUR)
446,MOP,Pataca (MOP),pataca (MOP)
450,MGA,Malagasy Ariary (MGA),ariary malgache (MGA)
454,MWK,Malawi Kwacha (MWK),kwacha malawien (MWK)
457,MYR,Malaysian Ringgit (MYR),ringgit malaisien (MYR)
458,MYR,Malaysian Ringgit (MYR),ringgit malaisien (MYR)
459,MYR,Malaysian Ringgit (MYR),ringgit malaisien (MYR)
460,MYR,Malaysian Ringgit (MYR),ringgit malaisien (MYR)
461,MYR,Malaysian Ringgit (MYR),ringgit malaisien (MYR)
462,MVR,Rufiyaa (MVR),rufiyaa (MVR)
466,XOF,"CFA Franc, BCEAO (XOF)","franc CFA, BCEAO (XOF)"
470,EUR,Euro (EUR),euro (EUR)
474,EUR,Euro (EUR),euro (EUR)
476,MRU,Ouguiya (MRU),ouguiya (MRU)
477,MRU,Ouguiya (MRU),ouguiya (MRU)
478,MRU,Ouguiya (MRU),ouguiya (MRU)
479,MUR,Mauritius Rupee (MUR),roupie mauricienne (MUR)
480,MUR,Mauritius Rupee (MUR),roupie mauricienne (MUR)
481,MUR,Mauritius Rupee (MUR),roupie mauricienne (MUR)
482,MUR,Mauritius Rupee (MUR),roupie mauricienne (MUR)
483,MUR,Mauritius Rupee (MUR),roupie mauricienne (MUR)
484,MXN,Mexican Peso (MXN),peso mexicain (MXN)
488,USD,US dollar (USD),dollar des É.-U. (USD)
492,EUR,Euro (EUR),euro (EUR)
496,MNT,Tugrik (MNT),tugrik (MNT)
498,MDL,Moldovan Leu (MDL),leu moldove (MDL)
499,EUR,Euro (EUR),euro (EUR)
500,XCD,E. Caribbean Dollar (XCD),dollar des Caraïb. (XCD)
504,MAD,Moroccan Dirham (MAD),dirham marocain (MAD)
505,MAD,Moroccan Dirham (MAD),dirham marocain (MAD)
506,MAD,Moroccan Dirham (MAD),dirham marocain (MAD)
507,MAD,Moroccan Dirham (MAD),dirham marocain (MAD)
508,MZN,Mozambique Metical (MZN),metical de Mozambique (MZN)
512,OMR,Rial Omani (OMR),rial omanais (OMR)
516,NAD,Namibia Dollar (NAD),dollar namibien (NAD)
520,AUD,Australian Dollar (AUD),dollar australien (AUD)
524,NPR,Nepalese Rupee (NPR),roupie népalaise (NPR)
528,EUR,Euro (EUR),euro (EUR)
530,ANG,Neth. Ant. Guilder (ANG),florin des Ant. néer. (ANG)
532,ANG,Neth. Ant. Guilder (ANG),florin des Ant. néer. (ANG)
533,AWG,Aruban Florin (AWG),florin de Aruba (AWG)
534,ANG,Neth. Ant. Guilder (ANG),florin des Ant. néer. (ANG)
535,USD,US Dollar (USD),dollar des É.-U. (USD)
540,XPF,CFP Franc (XPF),franc CFP (XPF)
544,PGK,Kina (PGK),kina (PGK)
546,XPF,CFP franc (XPF),franc CFP (XPF)
548,VUV,Vatu (VUV),vatu (VUV)
554,NZD,New Zealand Dollar (NZD),dollar néo-zélandais (NZD)
556,NZD,New Zealand Dollar (NZD),dollar néo-zélandais (NZD)
558,NIO,Cordoba Oro (NIO),cordoba oro (NIO)
562,XOF,"CFA Franc, BCEAO (XOF)","franc CFA, BCEAO (XOF)"
566,NGN,Naira (NGN),naira (NGN)
570,NZD,New Zealand Dollar (NZD),dollar néo-zélandais (NZD)
574,AUD,Australian dollar (AUD),dollar australien (AUD)
578,NOK,Norwegian Krone (NOK),couronne norvégienne (NOK)
580,USD,US Dollar (USD),dollar des É.-U. (USD)
581,USD,US dollar (USD),dollar des É.-U. (USD)
582,USD,US dollar (USD),dollar des É.-U. (USD)
583,USD,US Dollar (USD),dollar des É.-U. (USD)
584,USD,US Dollar (USD),dollar des É.-U. (USD)
585,USD,US Dollar (USD),dollar des É.-U. (USD)
586,PKR,Pakistan Rupee (PKR),roupie pakistanaise (PKR)
590,PAB,Balboa (PAB),balboa (PAB)
591,PAB,Balboa (PAB),balboa (PAB)
592,USD,US dollar (USD),dollar des É.-U. (USD)
596,PGK,Kina (PGK),kina (PGK)
598,PGK,Kina (PGK),kina (PGK)
600,PYG,Guarani (PYG),guaraní (PYG)
604,PEN,Sol (PEN),sol (PEN)
608,PHP,Philippine Piso (PHP),piso philippin (PHP)
612,NZD,New Zealand dollar (NZD),dollar néo-zélandais (NZD)
616,PLN,Zloty (PLN),zloty (PLN)
620,EUR,Euro (EUR),euro (EUR)
624,XOF,"CFA Franc, BCEAO (XOF)","franc CFA, BCEAO (XOF)"
630,USD,US Dollar (USD),dollar des É.-U. (USD)
634,QAR,Qatari Rial (QAR),riyal qatari (QAR)
638,EUR,Euro (EUR),euro (EUR)
642,RON,Romanian Leu (RON),leu roumain (RON)
643,RUB,Russian Ruble (RUB),ruble russe (RUB)
646,RWF,Rwanda Franc (RWF),franc rwandais (RWF)
654,SHP,Saint Helena Pound (SHP),livre de Sainte-Hélène (SHP)
655,SHP,Saint Helena Pound (SHP),livre de Sainte-Hélène (SHP)
656,SHP,Saint Helena Pound (SHP),livre de Sainte-Hélène (SHP)
657,SHP,Saint Helena Pound (SHP),livre de Sainte-Hélène (SHP)
658,XCD,E. Caribbean Dollar (XCD),dollar des Caraïb. (XCD)
659,XCD,E. Caribbean Dollar (XCD),dollar des Caraïb. (XCD)
660,XCD,E. Caribbean Dollar (XCD),dollar des Caraïb. (XCD)
662,XCD,E. Caribbean Dollar (XCD),dollar des Caraïb. (XCD)
666,EUR,Euro (EUR),euro (EUR)
670,XCD,E. Caribbean Dollar (XCD),dollar des Caraïb. (XCD)
674,EUR,Euro (EUR),euro (EUR)
678,STN,Dobra (STN),dobra (STN)
682,SAR,Saudi Riyal (SAR),rial saoudien (SAR)
684,SAR,Saudi Riyal (SAR),rial saoudien (SAR)
686,XOF,"CFA Franc, BCEAO (XOF)","franc CFA, BCEAO (XOF)"
688,RSD,Serbian Dinar (RSD),dinar de Serbie (RSD)
690,SCR,Seychelles Rupee (SCR),roupie seychelloise (SCR)
694,SLL,Leone (SLL),leone (SLL)
698,INR,Indian Rupee (INR),roupie indienne (INR)
702,SGD,Singapore Dollar (SGD),dollar singapourien (SGD)
703,EUR,Euro (EUR),euro (EUR)
704,VND,Dong (VND),dong (VND)
705,EUR,Euro (EUR),euro (EUR)
706,SOS,Somali Shilling (SOS),shilling somalien (SOS)
707,SOS,Somali Shilling (SOS),shilling somalien (SOS)
708,SOS,Somali Shilling (SOS),shilling somalien (SOS)
710,ZAR,Rand (ZAR),rand (ZAR)
711,ZAR,Rand (ZAR),rand (ZAR)
716,ZWL,Zimbabwe Dollar (ZWL),dollar du Zimbabwe (ZWL)
720,YDD,Yemeni Dinar (YDD),rial yéménite (YDD)
724,EUR,Euro (EUR),euro (EUR)
725,EUR,Euro (EUR),euro (EUR)
728,SSP,S. Sudanese Pound (SSP),livre s.-soudanaise (SSP)
729,SDG,Sudanese Pound (SDG),livre soudanaise (SDG)
736,SDG,Sudanese pound (SDG),livre soudanaise (SDG)
740,SRD,Surinam Dollar (SRD),dollar surinamais (SRD)
744,NOK,Norwegian Krone (NOK),couronne norvégienne (NOK)
748,SZL,Lilangeni (SZL),lilangeni (SZL)
752,SEK,Swedish Krona (SEK),couronne suédoise (SEK)
756,CHF,Swiss Franc (CHF),franc suisse (CHF)
760,SYP,Syrian Pound (SYP),livre syrienne (SYP)
762,TJS,Somoni (TJS),somoni (TJS)
764,THB,Baht (THB),baht (THB)
768,XOF,"CFA Franc, BCEAO (XOF)","franc CFA, BCEAO (XOF)"
772,NZD,New Zealand Dollar (NZD),dollar néo-zélandais (NZD)
776,TOP,Pa'anga (TOP),pa'anga (TOP)
780,TTD,TT Dollar (TTD),dollar de la T-et-T (TTD)
783,GBP,Pound Sterling (GBP),livre sterling (GBP)
784,AED,UAE Dirham (AED),dirham des É.A.U. (AED)
786,AED,UAE Dirham (AED),dirham des É.A.U. (AED)
787,AED,UAE Dirham (AED),dirham des É.A.U. (AED)
788,TND,Tunisian Dinar (TND),dinar tunisien (TND)
789,AED,UAE Dirham (AED),dirham des É.A.U. (AED)
790,AED,UAE Dirham (AED),dirham des É.A.U. (AED)
791,AED,UAE Dirham (AED),dirham des É.A.U. (AED)
792,TRY,Turkish Lira (TRY),livre turque (TRY)
793,AED,UAE Dirham (AED),dirham des É.A.U. (AED)
795,TMT,Turkmen. Manat (TMT),manat turkmène (TMT)
796,USD,US Dollar (USD),dollar des É.-U. (USD)
798,AUD,Australian Dollar (AUD),dollar australien (AUD)
800,UGX,Uganda Shilling (UGX),shilling ougandais (UGX)
804,UAH,Hryvnia (UAH),hryvnia (UAH)
807,MKD,Denar (MKD),denar (MKD)
810,SUR,Soviet Ruble (SUR),rouble soviétique (SUR)
818,EGP,Egyptian Pound (EGP),livre égyptienne (EGP)
824,GBP,Pound Sterling (GBP),livre sterling (GBP)
825,GBP,Pound Sterling (GBP),livre sterling (GBP)
826,GBP,Pound Sterling (GBP),livre sterling (GBP)
827,GBP,Pound Sterling (GBP),livre sterling (GBP)
828,GBP,Pound Sterling (GBP),livre sterling (GBP)
829,GBP,Pound Sterling (GBP),livre sterling (GBP)
830,GBP,Pound Sterling (GBP),livre sterling (GBP)
831,GBP,Pound Sterling (GBP),livre sterling (GBP)
832,GBP,Pound Sterling (GBP),livre sterling (GBP)
833,GBP,Pound Sterling (GBP),livre sterling (GBP)
834,TZS,Tanzanian Shilling (TZS),shilling tanzanien (TZS)
836,TZS,Tanzanian Shilling (TZS),shilling tanzanien (TZS)
840,USD,US Dollar (USD),dollar des É.-U. (USD)
847,USD,US dollar (USD),dollar des É.-U. (USD)
848,USD,US Dollar (USD),dollar des É.-U. (USD)
849,USD,US dollar (USD),dollar des É.-U. (USD)
850,USD,US Dollar (USD),dollar des É.-U. (USD)
851,USD,US Dollar (USD),dollar des É.-U. (USD)
852,USD,US Dollar (USD),dollar des É.-U. (USD)
853,USD,US Dollar (USD),dollar des É.-U. (USD)
854,XOF,"CFA Franc, BCEAO (XOF)","franc CFA, BCEAO (XOF)"
855,USD,US dollar (USD),dollar des É.-U. (USD)
858,UYU,Peso Uruguayo (UYU),peso uruguayen (UYU)
860,UZS,Uzbekistan Sum (UZS),sum ouzbek (UZS)
862,VEF,Bolívar (VEF),bolivar (VEF)
866,VND,Dong (VND),dong (VND)
868,VNC,Old Dong (VNC),dong ancienne (VNC)
872,USD,US dollar (USD),dollar des É.-U. (USD)
876,XPF,CFP Franc (XPF),franc CFP (XPF)
882,WST,Tala (WST),tala (WST)
886,YER,Yemeni Rial (YER),rial yéménite (YER)
887,YER,Yemeni Rial (YER),rial yéménite (YER)
890,YUN,Yugoslavian Dinar (YUN),dinar yougoslave (YUN)
891,CSD,Serbian Dinar (CSD),dinar de Serbie (CSD)
894,ZMW,Zambian Kwacha (ZMW),kwacha zambien (ZMW)
626,USD,US Dollar (USD),dollar des É.-U. (USD)
732,MAD,Moroccan Dirham (MAD),dirham marocain (MAD)
531,ANG,Neth. Ant. Guilder (ANG),florin des Ant. néer. (ANG)
680,GBP,Pound Sterling (GBP),livre sterling (GBP)
652,EUR,Euro (EUR),euro (EUR)
663,EUR,Euro (EUR),euro (EUR)
239,GBP,Pound Sterling (GBP),livre sterling (GBP)
667,USD,US Dollar (USD),dollar des É.-U. (USD)
668,USD,US Dollar (USD),dollar des É.-U. (USD)
669,USD,US Dollar (USD),dollar des É.-U. (USD)
785,AED,UAE Dirham (AED),dirham des É.A.U. (AED)
412,EUR,Euro (EUR),euro (EUR)
