topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	value_2020	value_latest_year	latest_year
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	54	Melanesia	1	90	Solomon Islands	SLB	1	160.1584117	-9.622391719		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						16.7888					18.8589					21.5476		22.7238	23.3247	23.9308	24.5403	24.5403	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	29	Caribbean	1	92	British Virgin Islands	VGB	0	-64.63294223	18.42256578		0			[2017-2018]: Projected estimate (medium fertility variant).	[2017-2018]: Projection approximative (variante moyenne fécondité).	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.	137.6333	140.5667	143.5267	146.6667	150.2733	154.4533	159.3667	164.8733	170.6933	176.3133	181.4933	186.0067	190.06	193.7067	197.2533	200.7533	204.4067	207.9733	211.46	200.2	217.56	217.56	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	35	South-eastern Asia	1	96	Brunei Darussalam	BRN	1	114.6288563	4.49736984		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						69.2816					73.7469					78.73		80.5452	81.3972	82.2173	83.0131	83.0131	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	151	Eastern Europe	1	100	Bulgaria	BGR	1	25.23763153	42.75731323		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						70.8084					68.3954					66.3204		65.4241	64.9559	64.4816	64.0056	64.0056	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	35	South-eastern Asia	1	104	Myanmar	MMR	1	96.51752295	21.19332882		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						74.9283					77.4554					80.6391		81.71340000000001	82.2121	82.7281	83.2858	83.2858	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	14	Eastern Africa	1	108	Burundi	BDI	1	29.89080992	-3.366387428		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						286.7937					337.835					395.6398		421.6129	435.1781	449.0101	463.0368	463.0368	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	151	Eastern Europe	1	112	Belarus	BLR	1	28.04940161	53.54193075		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						47.1248					46.4274					46.5202		46.5735	46.5853	46.5843	46.569	46.569	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	35	South-eastern Asia	1	116	Cambodia	KHM	1	104.922836	12.71163737		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						75.1946					81.0798					87.9302		90.6946	92.0564	93.3976	94.7143	94.7143	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	17	Middle Africa	1	120	Cameroon	CMR	1	12.7419827	5.692387031		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						37.5144					43.0311					49.2868		51.9686	53.3441	54.7405	56.1568	56.1568	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	21	Northern America	1	124	Canada	CAN	1	-101.6575058	57.72360191		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						3.5371					3.7552					3.9618		4.0394	4.077	4.114	4.1504	4.1504	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population density	SYB088	11	Western Africa	1	132	Cabo Verde	CPV	1	-23.63544151	15.07791834		0			[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.						114.8963					122.2467					130.2092		133.3742	134.9298	136.4603	137.962	137.962	2020
