refAreaCode,exportPartner1_Code,exportPartner1_DescEN,exportPartner1_DescFR
414,899,Areas nes,Zones nsa
418,156,China,Chine
430,899,Areas nes,Zones nsa
434,380,Italy,Italie
580,899,Areas nes,Zones nsa
583,764,Thailand,Thaïlande
584,724,Spain,Espagne
624,356,India,Inde
654,840,United States,États-Unis
660,840,United States,États-Unis
666,124,Canada,Canada
690,784,United Arab Emirates,Émirats arabes unis
706,682,Saudi Arabia,Arabie saoudite
728,156,China,Chine
729,156,China,Chine
748,710,South Africa,Afrique du Sud
760,422,Lebanon,Liban
762,398,Kazakhstan,Kazakhstan
772,360,Indonesia,Indonésie
780,840,United States,États-Unis
795,156,China,Chine
798,764,Thailand,Thaïlande
860,756,Switzerland,Suisse
876,702,Singapore,Singapour
158,156,China,Chine
