refAreaCode,tourismArrivalsSeriesType_Code,tourismArrivalsSeriesType_DescEN,tourismArrivalsSeriesType_DescFR
100,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
104,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
108,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
112,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
116,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
120,VF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
124,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
132,TF,Arrivals of non-resident tourists in hotels and similar establishments.,Arrivées de touristes non résidents dans les hôtels et établissements similaires.
136,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
140,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
144,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
148,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
152,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
156,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
158,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
170,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
174,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
178,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
180,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
184,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
188,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
191,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
192,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
196,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
203,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
204,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
208,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
212,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
214,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
218,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
222,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
231,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
232,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
233,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
242,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
246,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
250,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
254,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
258,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
262,THS,Arrivals of non-resident tourists in hotels and similar establishments.,Arrivées de touristes non résidents dans les hôtels et établissements similaires.
266,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
268,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
270,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
275,THS,Arrivals of non-resident tourists in hotels and similar establishments.,Arrivées de touristes non résidents dans les hôtels et établissements similaires.
276,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
288,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
296,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
300,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
308,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
312,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
316,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
320,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
324,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
328,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
332,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
340,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
344,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
348,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
352,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
356,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
360,VF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
364,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
368,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
372,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
376,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
380,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
384,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
388,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
392,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
398,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
400,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
404,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
410,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
414,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
417,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
418,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
422,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
426,VF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
428,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
434,THS,Arrivals of non-resident tourists in hotels and similar establishments.,Arrivées de touristes non résidents dans les hôtels et établissements similaires.
438,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
440,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
442,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
446,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
450,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
454,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
458,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
462,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
466,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
470,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
474,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
480,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
484,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
492,THS,Arrivals of non-resident tourists in hotels and similar establishments.,Arrivées de touristes non résidents dans les hôtels et établissements similaires.
496,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
498,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
499,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
500,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
504,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
508,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
512,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
516,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
524,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
528,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
531,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
533,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
534,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
540,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
548,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
554,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
558,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
562,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
566,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
570,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
578,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
580,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
583,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
584,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
585,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
586,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
591,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
598,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
600,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
604,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
608,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
616,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
620,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
624,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
626,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
630,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
634,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
638,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
642,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
643,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
646,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
659,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
660,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
662,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
667,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
668,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
669,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
670,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
674,THS,Arrivals of non-resident tourists in hotels and similar establishments.,Arrivées de touristes non résidents dans les hôtels et établissements similaires.
678,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
682,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
686,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
688,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
690,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
694,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
702,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
703,TCE,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
704,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
705,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
710,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
716,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
724,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
729,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
736,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
740,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
748,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
752,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
756,THS,Arrivals of non-resident tourists in hotels and similar establishments.,Arrivées de touristes non résidents dans les hôtels et établissements similaires.
760,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
762,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
764,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
768,THS,Arrivals of non-resident tourists in hotels and similar establishments.,Arrivées de touristes non résidents dans les hôtels et établissements similaires.
776,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
780,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
784,THS,Arrivals of non-resident tourists in hotels and similar establishments.,Arrivées de touristes non résidents dans les hôtels et établissements similaires.
788,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
792,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
795,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
796,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
798,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
800,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
804,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
807,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
818,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
826,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
834,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
840,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
850,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
854,THS,Arrivals of non-resident tourists in hotels and similar establishments.,Arrivées de touristes non résidents dans les hôtels et établissements similaires.
858,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
860,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
862,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
882,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
887,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
894,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
