refAreaCode,m49_Code,m49_DescEN,m49_DescFR
120,17,Middle Africa,Afrique centrale
124,21,Northern America,Amérique septentrionale
128,47,Micronesia [former],Micronésie [anc.]
132,11,Western Africa,Afrique occidentale
136,29,Caribbean,Caraïbes
140,17,Middle Africa,Afrique centrale
142,1,World,Monde
143,142,Asia,Asie
144,34,Southern Asia,Asie méridionale
145,142,Asia,Asie
148,17,Middle Africa,Afrique centrale
150,1,World,Monde
151,150,Europe,Europe
152,5,South America,Amérique du Sud
154,150,Europe,Europe
155,150,Europe,Europe
156,30,Eastern Asia,Asie orientale
158,30,Eastern Asia,Asie orientale
162,53,Oceania,Océanie
166,53,Oceania,Océanie
170,5,South America,Amérique du Sud
174,14,Eastern Africa,Afrique orientale
175,14,Eastern Africa,Afrique orientale
178,17,Middle Africa,Afrique centrale
180,17,Middle Africa,Afrique centrale
184,61,Polynesia,Polynésie
188,13,Central America,Amérique centrale
191,39,Southern Europe,Europe méridionale
192,29,Caribbean,Caraïbes
196,145,Western Asia,Asie occidentale
200,41,Eastern Europe [former],Europe orientale [anc.]
202,2,Africa,Afrique
203,151,Eastern Europe,Europe orientale
204,11,Western Africa,Afrique occidentale
208,154,Northern Europe,Europe septentrionale
212,29,Caribbean,Caraïbes
214,29,Caribbean,Caraïbes
216,10,Antarctica,Antarctique
218,5,South America,Amérique du Sud
222,13,Central America,Amérique centrale
226,17,Middle Africa,Afrique centrale
230,14,Eastern Africa,Afrique orientale
231,14,Eastern Africa,Afrique orientale
232,14,Eastern Africa,Afrique orientale
233,154,Northern Europe,Europe septentrionale
234,154,Northern Europe,Europe septentrionale
238,5,South America,Amérique du Sud
239,5,South America,Amérique du Sud
242,54,Melanesia,Mélanésie
246,154,Northern Europe,Europe septentrionale
248,154,Northern Europe,Europe septentrionale
249,155,Western Europe,Europe occidentale
250,155,Western Europe,Europe occidentale
251,155,Western Europe,Europe occidentale
254,5,South America,Amérique du Sud
258,61,Polynesia,Polynésie
260,14,Eastern Africa,Afrique orientale
262,14,Eastern Africa,Afrique orientale
266,17,Middle Africa,Afrique centrale
268,145,Western Asia,Asie occidentale
270,11,Western Africa,Afrique occidentale
274,37,Western Asia [former],Asie occidentale [anc.]
275,145,Western Asia,Asie occidentale
276,155,Western Europe,Europe occidentale
278,41,Eastern Europe [former],Europe orientale [anc.]
280,38,Western Europe [former],Europe occidentale [anc.]
282,41,Eastern Europe [former],Europe orientale [anc.]
284,38,Western Europe [former],Europe occidentale [anc.]
288,11,Western Africa,Afrique occidentale
292,39,Southern Europe,Europe méridionale
296,57,Micronesia,Micronésie
300,39,Southern Europe,Europe méridionale
304,21,Northern America,Amérique septentrionale
308,29,Caribbean,Caraïbes
312,29,Caribbean,Caraïbes
316,57,Micronesia,Micronésie
320,13,Central America,Amérique centrale
324,11,Western Africa,Afrique occidentale
328,5,South America,Amérique du Sud
332,29,Caribbean,Caraïbes
334,53,Oceania,Océanie
336,39,Southern Europe,Europe méridionale
340,13,Central America,Amérique centrale
344,30,Eastern Asia,Asie orientale
348,151,Eastern Europe,Europe orientale
352,154,Northern Europe,Europe septentrionale
356,34,Southern Asia,Asie méridionale
360,35,South-eastern Asia,Asie du Sud-Est
364,34,Southern Asia,Asie méridionale
368,145,Western Asia,Asie occidentale
372,154,Northern Europe,Europe septentrionale
376,145,Western Asia,Asie occidentale
380,39,Southern Europe,Europe méridionale
381,39,Southern Europe,Europe méridionale
384,11,Western Africa,Afrique occidentale
388,29,Caribbean,Caraïbes
392,30,Eastern Asia,Asie orientale
396,47,Micronesia [former],Micronésie [anc.]
398,143,Central Asia,Asie centrale
400,145,Western Asia,Asie occidentale
404,14,Eastern Africa,Afrique orientale
408,30,Eastern Asia,Asie orientale
410,30,Eastern Asia,Asie orientale
412,39,Southern Europe,Europe méridionale
414,145,Western Asia,Asie occidentale
417,143,Central Asia,Asie centrale
418,35,South-eastern Asia,Asie du Sud-Est
419,19,Americas,Amériques
420,419,Latin America & Caribbean,Amérique latine et Caraïbes
422,145,Western Asia,Asie occidentale
426,18,Southern Africa,Afrique australe
428,154,Northern Europe,Europe septentrionale
430,11,Western Africa,Afrique occidentale
434,15,Northern Africa,Afrique septentrionale
438,155,Western Europe,Europe occidentale
440,154,Northern Europe,Europe septentrionale
442,155,Western Europe,Europe occidentale
446,30,Eastern Asia,Asie orientale
450,14,Eastern Africa,Afrique orientale
454,14,Eastern Africa,Afrique orientale
458,35,South-eastern Asia,Asie du Sud-Est
462,34,Southern Asia,Asie méridionale
466,11,Western Africa,Afrique occidentale
470,39,Southern Europe,Europe méridionale
474,29,Caribbean,Caraïbes
478,11,Western Africa,Afrique occidentale
480,14,Eastern Africa,Afrique orientale
484,13,Central America,Amérique centrale
488,47,Micronesia [former],Micronésie [anc.]
492,155,Western Europe,Europe occidentale
496,30,Eastern Asia,Asie orientale
498,151,Eastern Europe,Europe orientale
499,39,Southern Europe,Europe méridionale
500,29,Caribbean,Caraïbes
504,15,Northern Africa,Afrique septentrionale
508,14,Eastern Africa,Afrique orientale
512,145,Western Asia,Asie occidentale
516,18,Southern Africa,Afrique australe
520,57,Micronesia,Micronésie
524,34,Southern Asia,Asie méridionale
528,155,Western Europe,Europe occidentale
530,29,Caribbean,Caraïbes
531,29,Caribbean,Caraïbes
532,29,Caribbean,Caraïbes
533,29,Caribbean,Caraïbes
534,29,Caribbean,Caraïbes
535,29,Caribbean,Caraïbes
536,37,Western Asia [former],Asie occidentale [anc.]
540,54,Melanesia,Mélanésie
544,45,Melanesia [former],Mélanésie [anc.]
548,54,Melanesia,Mélanésie
554,53,Oceania,Océanie
558,13,Central America,Amérique centrale
562,11,Western Africa,Afrique occidentale
566,11,Western Africa,Afrique occidentale
570,61,Polynesia,Polynésie
574,53,Oceania,Océanie
578,154,Northern Europe,Europe septentrionale
579,154,Northern Europe,Europe septentrionale
580,57,Micronesia,Micronésie
581,57,Micronesia,Micronésie
582,47,Micronesia [former],Micronésie [anc.]
583,57,Micronesia,Micronésie
584,57,Micronesia,Micronésie
585,57,Micronesia,Micronésie
586,34,Southern Asia,Asie méridionale
590,13,Central America,Amérique centrale
591,13,Central America,Amérique centrale
592,13,Central America,Amérique centrale
596,45,Melanesia [former],Mélanésie [anc.]
598,54,Melanesia,Mélanésie
600,5,South America,Amérique du Sud
604,5,South America,Amérique du Sud
608,35,South-eastern Asia,Asie du Sud-Est
612,61,Polynesia,Polynésie
616,151,Eastern Europe,Europe orientale
620,39,Southern Europe,Europe méridionale
624,11,Western Africa,Afrique occidentale
626,35,South-eastern Asia,Asie du Sud-Est
630,29,Caribbean,Caraïbes
634,145,Western Asia,Asie occidentale
638,14,Eastern Africa,Afrique orientale
642,151,Eastern Europe,Europe orientale
643,151,Eastern Europe,Europe orientale
646,14,Eastern Africa,Afrique orientale
650,30,Eastern Asia,Asie orientale
652,29,Caribbean,Caraïbes
654,11,Western Africa,Afrique occidentale
655,11,Western Africa,Afrique occidentale
656,11,Western Africa,Afrique occidentale
658,29,Caribbean,Caraïbes
659,29,Caribbean,Caraïbes
660,29,Caribbean,Caraïbes
662,29,Caribbean,Caraïbes
663,29,Caribbean,Caraïbes
666,21,Northern America,Amérique septentrionale
667,29,Caribbean,Caraïbes
668,29,Caribbean,Caraïbes
669,29,Caribbean,Caraïbes
670,29,Caribbean,Caraïbes
674,39,Southern Europe,Europe méridionale
678,17,Middle Africa,Afrique centrale
680,154,Northern Europe,Europe septentrionale
682,145,Western Asia,Asie occidentale
686,11,Western Africa,Afrique occidentale
688,39,Southern Europe,Europe méridionale
690,14,Eastern Africa,Afrique orientale
694,11,Western Africa,Afrique occidentale
698,33,Southern Asia [former],Asie méridionale [anc.]
702,35,South-eastern Asia,Asie du Sud-Est
703,151,Eastern Europe,Europe orientale
704,35,South-eastern Asia,Asie du Sud-Est
705,39,Southern Europe,Europe méridionale
706,14,Eastern Africa,Afrique orientale
710,18,Southern Africa,Afrique australe
716,14,Eastern Africa,Afrique orientale
720,37,Western Asia [former],Asie occidentale [anc.]
724,39,Southern Europe,Europe méridionale
728,14,Eastern Africa,Afrique orientale
729,15,Northern Africa,Afrique septentrionale
732,15,Northern Africa,Afrique septentrionale
736,15,Northern Africa,Afrique septentrionale
740,5,South America,Amérique du Sud
744,154,Northern Europe,Europe septentrionale
748,18,Southern Africa,Afrique australe
752,154,Northern Europe,Europe septentrionale
756,155,Western Europe,Europe occidentale
757,155,Western Europe,Europe occidentale
760,145,Western Asia,Asie occidentale
762,143,Central Asia,Asie centrale
764,35,South-eastern Asia,Asie du Sud-Est
768,11,Western Africa,Afrique occidentale
772,61,Polynesia,Polynésie
776,61,Polynesia,Polynésie
780,29,Caribbean,Caraïbes
784,145,Western Asia,Asie occidentale
788,15,Northern Africa,Afrique septentrionale
792,145,Western Asia,Asie occidentale
795,143,Central Asia,Asie centrale
796,29,Caribbean,Caraïbes
798,61,Polynesia,Polynésie
800,14,Eastern Africa,Afrique orientale
804,151,Eastern Europe,Europe orientale
807,39,Southern Europe,Europe méridionale
810,1,World,Monde
818,15,Northern Africa,Afrique septentrionale
826,154,Northern Europe,Europe septentrionale
830,154,Northern Europe,Europe septentrionale
831,154,Northern Europe,Europe septentrionale
832,154,Northern Europe,Europe septentrionale
833,154,Northern Europe,Europe septentrionale
834,14,Eastern Africa,Afrique orientale
835,14,Eastern Africa,Afrique orientale
836,14,Eastern Africa,Afrique orientale
840,21,Northern America,Amérique septentrionale
841,21,Northern America,Amérique septentrionale
842,21,Northern America,Amérique septentrionale
849,47,Micronesia [former],Micronésie [anc.]
850,29,Caribbean,Caraïbes
854,11,Western Africa,Afrique occidentale
858,5,South America,Amérique du Sud
860,143,Central Asia,Asie centrale
862,5,South America,Amérique du Sud
866,35,South-eastern Asia,Asie du Sud-Est
868,35,South-eastern Asia,Asie du Sud-Est
872,47,Micronesia [former],Micronésie [anc.]
876,61,Polynesia,Polynésie
882,61,Polynesia,Polynésie
886,37,Western Asia [former],Asie occidentale [anc.]
887,145,Western Asia,Asie occidentale
890,39,Southern Europe,Europe méridionale
891,39,Southern Europe,Europe méridionale
894,14,Eastern Africa,Afrique orientale
699,34,Southern Asia,Asie méridionale
490,30,Eastern Asia,Asie orientale
