topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	sexCode	sexDesc	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_1950	value_1970	value_1990	value_1995	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	value_2020	value_latest_year	latest_year
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	29	Caribbean	1	28	Antigua and Barbuda	ATG	1	-61.7999755	17.07761471	M	Male	Number	6.0		Millions	[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										0.0386					0.042100000000000005					0.045000000000000005		0.046	0.046400000000000004	0.046900000000000004	0.0473	0.0473	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	_T	Both sexes or no breakdown by sex	Number	6.0		Millions	[2005,2010,2015,2017-2020]: Including Nagorno-Karabakh. [2020]: Projected estimate (medium fertility variant).	[2005,2010,2015,2017-2020]: Y compris le Haut-Karabakh. [2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										8.5386					9.0325					9.6227		9.8453	9.9495	10.0477	10.1392	10.1392	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	F	Female	Number	6.0		Millions	[2005,2010,2015,2017-2020]: Including Nagorno-Karabakh.	[2005,2010,2015,2017-2020]: Y compris le Haut-Karabakh.	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										4.3318					4.5574					4.8342		4.9379	4.9863	5.0319	5.0745	5.0745	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	145	Western Asia	1	31	Azerbaijan	AZE	1	50.01064725	40.39229544	M	Male	Number	6.0		Millions	[2005,2010,2015,2017-2020]: Including Nagorno-Karabakh. [2020]: Projected estimate (medium fertility variant).	[2005,2010,2015,2017-2020]: Y compris le Haut-Karabakh. [2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										4.2068					4.4751					4.7885		4.9074	4.9633	5.0158	5.0647	5.0647	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	_T	Both sexes or no breakdown by sex	Number	6.0		Millions	[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										38.8929					40.8958					43.0754		43.9371	44.3612	44.7807	45.1958	45.1958	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	F	Female	Number	6.0		Millions	[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										19.9956					20.997					22.0863		22.5173	22.7295	22.9393	23.1466	23.1466	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	5	South America	1	32	Argentina	ARG	1	-65.14563274	-35.19446255	M	Male	Number	6.0		Millions	[2020]: Projected estimate (medium fertility variant).	[2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										18.8974					19.8988					20.9892		21.4198	21.6317	21.8414	22.0491	22.0491	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	_T	Both sexes or no breakdown by sex	Number	6.0		Millions	[2005,2010,2015,2017-2020]: Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island. [2020]: Projected estimate (medium fertility variant).	[2005,2010,2015,2017-2020]: Y compris l’île Christmas, les îles des Cocos (Keeling) et l’île Norfolk. [2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										20.1785					22.1547					23.9325		24.584600000000002	24.8982	25.2032	25.4999	25.4999	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	F	Female	Number	6.0		Millions	[2005,2010,2015,2017-2020]: Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.	[2005,2010,2015,2017-2020]: Y compris l’île Christmas, les îles des Cocos (Keeling) et l’île Norfolk.	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										10.1085					11.0753					12.0071		12.341	12.4988	12.6519	12.8013	12.8013	2020
2	Population and migration	Population et migration	pop	89	Population, density and surface area	Population mid-year estimates	SYB089	53	Oceania	1	36	Australia	AUS	1	134.3499412	-25.57717202	M	Male	Number	6.0		Millions	[2005,2010,2015,2017-2020]: Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island. [2020]: Projected estimate (medium fertility variant).	[2005,2010,2015,2017-2020]: Y compris l’île Christmas, les îles des Cocos (Keeling) et l’île Norfolk. [2020]: Projection approximative (variante moyenne fécondité).	[2005,2010,2015,2017-2020]: United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.	[2005,2010,2015,2017-2020]: Organisation des Nations Unies, Division de la population, New York, « World Population Prospects: The 2019 Revision », denier accès juin 2019.										10.0701					11.0794					11.9254		12.2436	12.3994	12.5513	12.6986	12.6986	2020
