topicId	topicNameEN	topicNameFR	tableCode	tableId	tableName	seriesDesc	seriesCode	parentCode	parentName	countryProfile	refAreaCode	refAreaDesc	ISO3	UN_Member	X	Y	units	multiplier	baseYear	multiplierDesc	footnotesEN	footnotesFR	sourceEN	sourceFR	value_2000	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_latest_year	latest_year
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	14	Eastern Africa	1	108	Burundi	BDI	1	29.89080992	-3.366387428	Subscriptions per 100 inhabitants	0			[2006,2010-2011]: Estimate.	[2006,2010-2011]: Données estimatives.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.24000000000000002	1.9700000000000002	2.49	3.24	5.57	10.31	18.17	20.07	22.81	24.96	30.46	46.22	46.22	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	151	Eastern Europe	1	112	Belarus	BLR	1	28.04940161	53.54193075	Subscriptions per 100 inhabitants	0					International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.49000000000000005	42.42	61.95	72.61	85.06	101.68	108.87	113.17	113.52	118.79	122.5	123.64	123.64	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	35	South-eastern Asia	1	116	Cambodia	KHM	1	104.922836	12.71163737	Subscriptions per 100 inhabitants	0					International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	1.07	7.95	12.7	18.79	30.39	44.31	56.74	94.19	128.53	133.89	132.73	133.0	133.0	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	17	Middle Africa	1	120	Cameroon	CMR	1	12.7419827	5.692387031	Subscriptions per 100 inhabitants	0			[2007]: Estimate. [2015]: Data as at the end of September.	[2007]: Données estimatives. [2015]: Données à la fin de septembre.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.65	12.42	16.85	23.75	31.44	39.81	41.88	49.57	60.41	70.39	75.69	71.85	71.85	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	21	Northern America	1	124	Canada	CAN	1	-101.6575058	57.72360191	Subscriptions per 100 inhabitants	0			[2011-2012]: Includes retail subscriptions. [2015]: Estimate.	[2011-2012]: Y compris les abonnements de détail. [2015]: Données estimatives.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	28.43	52.76	57.49	61.47	66.2	70.55	75.68	77.83	79.57	80.61	81.04	81.93	81.93	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	11	Western Africa	1	132	Cabo Verde	CPV	1	-23.63544151	15.07791834	Subscriptions per 100 inhabitants	0			[2007]: Estimate.	[2007]: Données estimatives.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	4.46	17.07	22.59	31.47	57.29	59.83	76.27	80.81	86.03	100.11	121.79	127.15	127.15	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	29	Caribbean	1	136	Cayman Islands	CYM	0	-81.16740559	19.32266656	Subscriptions per 100 inhabitants	0			[2005-2015]: Data refers to number of mobile handsets in operation.	[2005-2015]: Les données portent sur le nombre de téléphones portables en fonctionnement.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	25.67	166.47	185.02	197.19	185.8	200.27	181.17	170.98	171.68	167.77	153.75	155.49	155.49	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	17	Middle Africa	1	140	Central African Republic	CAF	1	20.93559492	7.003720791	Subscriptions per 100 inhabitants	0			[2006-2008,2013,2015]: Estimate. [2010,2012,2014]: Data refers to active subscriptions only. [2011]: Includes inactive subscriptions.	[2006-2008,2013,2015]: Données estimatives. [2010,2012,2014]: Les données concernent les abonnements actifs. [2011]: Y compris les abonnés inactifs.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.14	2.52	2.73	8.28	13.62	20.24	22.51	22.37	25.26	29.47	24.54	20.45	20.45	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	34	Southern Asia	1	144	Sri Lanka	LKA	1	80.70489654	7.614693343	Subscriptions per 100 inhabitants	0					International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	2.2800000000000002	16.85	26.88	39.32	54.19	79.15	83.62	87.55	91.63	95.5	103.16	112.83	112.83	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	17	Middle Africa	1	148	Chad	TCD	1	18.66618401	15.36279341	Subscriptions per 100 inhabitants	0			[2007]: Estimate.	[2007]: Données estimatives.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.07	2.1	4.5	8.59	14.51	20.06	24.53	30.34	35.36	35.56	39.75	40.17	40.17	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	5	South America	1	152	Chile	CHL	1	-71.23029019	-35.2652885	Subscriptions per 100 inhabitants	0					International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	22.01	64.69	75.44	83.72	87.91	96.81	115.75	128.93	137.08	134.29	133.24	129.47	129.47	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	30	Eastern Asia	1	156	China	CHN	1	104.1403375	32.30955217	Subscriptions per 100 inhabitants	0			For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.	Pour la présentation des statistiques, les données pour la Chine ne comprennent pas la région administrative spéciale de Hong Kong (RAS de Hong Kong), la région administrative spéciale de Macao (RAS de Macao) et la province chinoise de Taïwan.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	6.66	29.84	34.77	41.02	47.76	55.3	63.17	72.07	80.76	88.71	92.27	93.16	93.16	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	5	South America	1	170	Colombia	COL	1	-73.07446751	3.888209046	Subscriptions per 100 inhabitants	0					International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	5.66	50.6	67.89	76.27	91.61	92.05	95.76	98.13	102.85	104.08	113.08	115.74	115.74	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	14	Eastern Africa	1	174	Comoros	COM	1	43.34234565	-11.66121732	Subscriptions per 100 inhabitants	0			[2013-2015]: Estimate.	[2013-2015]: Données estimatives.	International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.0	2.58	5.98	9.82	14.13	18.41	24.2	30.91	39.51	47.28	50.9	54.8	54.8	2015
5	Communication	Communications	cellular	107	Cellular mobile telephone subscriptions	Cellular mobile telephone subscriptions per 100 inhabitants	SYB107	14	Eastern Africa	1	175	Mayotte	MYT	0	45.14015057	-12.82217691	Subscriptions per 100 inhabitants	0			[2000]: Data refers to active subscriptions only.	[2000]: Les données concernent les abonnements actifs.	[2000]: International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2019.	[2000]: Union internationale des télécommunications (UIT), Genève, la base de données de l’UIT, dernier accès janvier 2019.	0.0												0.0	2000
