parentRegionId,parentRegion_DescEN,parentRegion_DescFR,refAreaType,refAreaCode,isM49,ISO3CD_Code,refAreaDesc,bookNameEng,bookNameFre,capitalCity_Code,capitalCity_DescEN,capitalCity_DescFR,nationalCurrency_Code,nationalCurrency_DescEN,nationalCurrency_DescFR,activeStatus,classType,publicStatus,exportPartner1_Code,exportPartner1_DescEN,exportPartner1_DescFR,importPartner1_Code,importPartner1_DescEN,importPartner1_DescFR,exportPartner2_Code,exportPartner2_DescEN,exportPartner2_DescFR,importPartner2_Code,importPartner2_DescEN,importPartner2_DescFR,exportPartner3_Code,exportPartner3_DescEN,exportPartner3_DescFR,importParnter3_Code,importParnter3_DescEN,importParnter3_DescFR,tradeSystem_Code,tradeSystem_DescEN,tradeSystem_DescFR,tourismArrivalsSeriesType_Code,tourismArrivalsSeriesType_DescEN,tourismArrivalsSeriesType_DescFR
1,World,Monde,Region,7,Y,,Europe [former],Europe [former],Europe [anc.],,,,,,,N,1,Y,,,,,,,,,,,,,,,,,,,,,,,,
39,Southern Europe,Europe méridionale,Area,8,Y,ALB,Albania,Albania,Albanie,20005,Tirana,Tirana,ALL,Lek (ALL),lek (ALL),Y,2,Y,380,Italy,Italie,380,Italy,Italie,688,Serbia,Serbie,792,Turkey,Turquie,724,Spain,Espagne,276,Germany,Allemagne,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
1,World,Monde,Region,9,Y,,Oceania,Oceania,Océanie,,,,,,,Y,1,Y,,,,,,,,,,,,,,,,,,,,,,,,
1,World,Monde,Region,10,Y,ATA,Antarctica,Antarctica,Antarctique,,,,,,,Y,1,Y,,,,,,,,,,,,,,,,,,,,,,,,
202,Sub-Saharan Africa,Afrique subsaharienne,Region,11,Y,,Western Africa,Western Africa,Afrique occidentale,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
15,Northern Africa,Afrique septentrionale,Area,12,Y,DZA,Algeria,Algeria,Algérie,20006,Algiers,Alger,DZD,Algerian Dinar (DZD),dinar algérien (DZD),Y,2,Y,380,Italy,Italie,156,China,Chine,250,France,France,250,France,France,724,Spain,Espagne,380,Italy,Italie,S,The special trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce spécial. Voir les Notes techniques pour une explication des Systèmes de commerce.,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
419,Latin America & Caribbean,Amérique latine et Caraïbes,Region,13,Y,,Central America,Central America,Amérique centrale,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
202,Sub-Saharan Africa,Afrique subsaharienne,Region,14,Y,,Eastern Africa,Eastern Africa,Afrique orientale,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
2,Africa,Afrique,Region,15,Y,,Northern Africa,Northern Africa,Afrique septentrionale,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
61,Polynesia,Polynésie,Area,16,Y,ASM,American Samoa,American Samoa,Samoa américaines,20047,Pago Pago,Pago Pago,USD,US Dollar (USD),dollar des É.-U. (USD),Y,2,Y,,,,,,,,,,,,,,,,,,,S,The special trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce spécial. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
202,Sub-Saharan Africa,Afrique subsaharienne,Region,17,Y,,Middle Africa,Middle Africa,Afrique centrale,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
202,Sub-Saharan Africa,Afrique subsaharienne,Region,18,Y,,Southern Africa,Southern Africa,Afrique australe,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
1,World,Monde,Region,19,Y,,Americas,Americas,Amériques,,,,,,,Y,1,Y,,,,,,,,,,,,,,,,,,,,,,,,
39,Southern Europe,Europe méridionale,Area,20,Y,AND,Andorra,Andorra,Andorre,20048,Andorra la Vella,Andorre-la-Vieille,EUR,Euro (EUR),euro (EUR),Y,2,Y,724,Spain,Espagne,724,Spain,Espagne,250,France,France,250,France,France,144,Sri Lanka,Sri Lanka,276,Germany,Allemagne,S,The special trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce spécial. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
19,Americas,Amériques,Region,21,Y,,Northern America,Northern America,Amérique septentrionale,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
,,,Area,22,Y,,Andorra (France),Andorra (French),Andorre (Français),,,,EUR,Euro (EUR),euro (EUR),N,3,N,,,,,,,,,,,,,,,,,,,,,,,,
,,,Area,23,Y,,Andorra (Spain),Andorra (Spanish),Andorre (Espagnole),,,,EUR,Euro (EUR),euro (EUR),N,3,N,,,,,,,,,,,,,,,,,,,,,,,,
17,Middle Africa,Afrique centrale,Area,24,Y,AGO,Angola,Angola,Angola,20049,Luanda,Luanda,AOA,Kwanza (AOA),kwanza (AOA),Y,2,Y,156,China,Chine,156,China,Chine,356,India,Inde,620,Portugal,Portugal,840,United States,États-Unis,840,United States,États-Unis,S,The special trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce spécial. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
,,,Group,25,Y,,South America (Tropical),South America (Tropical),Amérique du Sud (Tropica),,,,,,,N,1,N,,,,,,,,,,,,,,,,,,,,,,,,
,,,Group,26,Y,,South America (Temperate),South America (Temperate),Amérique du Sud (Temporé),,,,,,,N,1,N,,,,,,,,,,,,,,,,,,,,,,,,
,,,Region,27,Y,,"Antarctica, others","Antarctica, Others","Antarctique, Autres",,,,,,,N,3,N,,,,,,,,,,,,,,,,,,,,,,,,
29,Caribbean,Caraïbes,Area,28,Y,ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua-et-Barbuda,20052,Saint John's,Saint-Johns,XCD,E. Caribbean Dollar (XCD),dollar des Caraïb. (XCD),Y,2,Y,724,Spain,Espagne,840,United States,États-Unis,826,United Kingdom,Royaume-Uni,899,Areas nes,Zones nsa,60,Bermuda,Bermudes,826,United Kingdom,Royaume-Uni,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
419,Latin America & Caribbean,Amérique latine et Caraïbes,Region,29,Y,,Caribbean,Caribbean,Caraïbes,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
142,Asia,Asie,Region,30,Y,,Eastern Asia,Eastern Asia,Asie orientale,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
145,Western Asia,Asie occidentale,Area,31,Y,AZE,Azerbaijan,Azerbaijan,Azerbaïdjan,20053,Baku,Bakou,AZN,Azerbaijan manat (AZN),manat azerbaïdjanais (AZN),Y,2,Y,380,Italy,Italie,643,Russian Federation,Fédération de Russie,792,Turkey,Turquie,792,Turkey,Turquie,376,Israel,Israël,156,China,Chine,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
5,South America,Amérique du Sud,Area,32,Y,ARG,Argentina,Argentina,Argentine,20058,Buenos Aires,Buenos Aires,ARS,Argentine Peso (ARS),peso argentin (ARS),Y,2,Y,76,Brazil,Brésil,76,Brazil,Brésil,840,United States,États-Unis,156,China,Chine,156,China,Chine,840,United States,États-Unis,S,The special trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce spécial. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
6,Asia [former],Asie [anc.],Region,33,Y,,Southern Asia [former],Southern Asia [former],Asie méridionale [anc.],,,,,,,N,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
142,Asia,Asie,Region,34,Y,,Southern Asia,Southern Asia,Asie méridionale,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
142,Asia,Asie,Region,35,Y,,South-eastern Asia,South-eastern Asia,Asie du Sud-Est,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
53,Oceania,Océanie,Area,36,Y,AUS,Australia,Australia,Australie,206175,Canberra,Canberra,AUD,Australian Dollar (AUD),dollar australien (AUD),Y,2,Y,156,China,Chine,156,China,Chine,899,Areas nes,Zones nsa,840,United States,États-Unis,392,Japan,Japon,392,Japan,Japon,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
6,Asia [former],Asie [anc.],Region,37,Y,,Western Asia [former],Western Asia [former],Asie occidentale [anc.],,,,,,,N,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
7,Europe [former],Europe [anc.],Region,38,Y,,Western Europe [former],Western Europe [former],Europe occidentale [anc.],,,,,,,N,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
150,Europe,Europe,Region,39,Y,,Southern Europe,Southern Europe,Europe méridionale,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
155,Western Europe,Europe occidentale,Area,40,Y,AUT,Austria,Austria,Autriche,20107,Vienna,Vienne,EUR,Euro (EUR),euro (EUR),Y,2,Y,276,Germany,Allemagne,276,Germany,Allemagne,840,United States,États-Unis,380,Italy,Italie,380,Italy,Italie,156,China,Chine,S,The special trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce spécial. Voir les Notes techniques pour une explication des Systèmes de commerce.,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
7,Europe [former],Europe [anc.],Region,41,Y,,Eastern Europe [former],Eastern Europe [former],Europe orientale [anc.],,,,,,,N,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
7,Europe [former],Europe [anc.],Region,42,Y,,Northern Europe [former],Northern Europe [former],Europe septentrionale [anc.],,,,,,,N,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
,,,Group,43,Y,,Europe (exc. Transition Economies),Europe (exc. Transition Economies),...,,,,,,,N,1,Y,,,,,,,,,,,,,,,,,,,,,,,,
29,Caribbean,Caraïbes,Area,44,Y,BHS,Bahamas,Bahamas,Bahamas,20108,Nassau,Nassau,BSD,Bahamian Dollar (BSD),dollar des Bahamas (BSD),Y,2,Y,840,United States,États-Unis,840,United States,États-Unis,616,Poland,Pologne,410,Rep. of Korea,République de Corée,558,Nicaragua,Nicaragua,170,Colombia,Colombie,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
,,,Region,45,Y,,Melanesia [former],Melanesia [former],Mélanésie [anc.],,,,,,,N,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
,,,Region,46,Y,,Micronesia-Polynesia [former],Micronesia-Polynesia [former],Micronésie-Polynésie [anc.],,,,,,,N,1.5,Y,,,,,,,,,,,,,,,,,,,,,,,,
46,Micronesia-Polynesia [former],Micronésie-Polynésie [anc.],Region,47,Y,,Micronesia [former],Micronesia [former],Micronésie [anc.],,,,,,,N,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
145,Western Asia,Asie occidentale,Area,48,Y,BHR,Bahrain,Bahrain,Bahreïn,20109,Manama,Manama,BHD,Bahraini Dinar (BHD),dinar de Bahreïn (BHD),Y,2,Y,682,Saudi Arabia,Arabie saoudite,899,Areas nes,Zones nsa,784,United Arab Emirates,Émirats arabes unis,156,China,Chine,840,United States,États-Unis,840,United States,États-Unis,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,VF,Arrivals of non-resident visitors at national borders.,Arrivées de visiteurs non résidents aux frontières nationales.
46,Micronesia-Polynesia [former],Micronésie-Polynésie [anc.],Region,49,Y,,Polynesia [former],Polynesia [former],Polynésie [anc.],,,,,,,N,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
34,Southern Asia,Asie méridionale,Area,50,Y,BGD,Bangladesh,Bangladesh,Bangladesh,20119,Dhaka,Dacca,BDT,Taka (BDT),taka (BDT),Y,2,Y,276,Germany,Allemagne,156,China,Chine,840,United States,États-Unis,356,India,Inde,826,United Kingdom,Royaume-Uni,702,Singapore,Singapour,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
145,Western Asia,Asie occidentale,Area,51,Y,ARM,Armenia,Armenia,Arménie,20140,Yerevan,Erevan,AMD,Armenian Dram (AMD),dram arménien (AMD),Y,2,Y,643,Russian Federation,Fédération de Russie,643,Russian Federation,Fédération de Russie,756,Switzerland,Suisse,156,China,Chine,100,Bulgaria,Bulgarie,364,Iran (Islamic Rep.),Iran (Rép. islamique),S,The special trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce spécial. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
29,Caribbean,Caraïbes,Area,52,Y,BRB,Barbados,Barbados,Barbade,20141,Bridgetown,Bridgetown,BBD,Barbados Dollar (BBD),dollar de la Barbade (BBD),Y,2,Y,899,Areas nes,Zones nsa,840,United States,États-Unis,840,United States,États-Unis,780,Trinidad and Tobago,Trinité-et-Tobago,780,Trinidad and Tobago,Trinité-et-Tobago,156,China,Chine,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
9,Oceania,Océanie,Region,53,Y,,Australia and New Zealand,Australia and New Zealand,Australie et Nouvelle-Zélande,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
9,Oceania,Océanie,Region,54,Y,,Melanesia,Melanesia,Mélanésie,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
,,,Region,55,Y,,Micronesia-Polynesia,Micronesia-Polynesia,Micronésie-Polynésie,,,,,,,N,1.5,Y,,,,,,,,,,,,,,,,,,,,,,,,
155,Western Europe,Europe occidentale,Area,56,Y,BEL,Belgium,Belgium,Belgique,20144,Brussels,Bruxelles,EUR,Euro (EUR),euro (EUR),Y,2,Y,276,Germany,Allemagne,528,Netherlands,Pays-Bas,250,France,France,276,Germany,Allemagne,528,Netherlands,Pays-Bas,250,France,France,S,The special trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce spécial. Voir les Notes techniques pour une explication des Systèmes de commerce.,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
9,Oceania,Océanie,Region,57,Y,,Micronesia,Micronesia,Micronésie,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
,,,Area,58,Y,,Belgium-Luxembourg,[use code 056 and footnote],[use code 056 and footnote],,,,,,,N,-1,Y,,,,,,,,,,,,,,,,,,,,,,,,
,,,Group,59,Y,,Benelux Economic Union,Benelux,Benelux,,,,,,,N,2,N,,,,,,,,,,,,,,,,,,,,,,,,
21,Northern America,Amérique septentrionale,Area,60,Y,BMU,Bermuda,Bermuda,Bermudes,20150,Hamilton,Hamilton,BMD,Bermudian Dollar (BMD),dollar des Bermudes (BMD),Y,2,Y,840,United States,États-Unis,840,United States,États-Unis,899,Areas nes,Zones nsa,124,Canada,Canada,826,United Kingdom,Royaume-Uni,826,United Kingdom,Royaume-Uni,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
9,Oceania,Océanie,Region,61,Y,,Polynesia,Polynesia,Polynésie,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
142,Asia,Asie,Region,62,Y,,South-central Asia,South-central Asia,Asie centrale et du Sud,,,,,,,Y,1.5,Y,,,,,,,,,,,,,,,,,,,,,,,,
,,,Group,63,Y,,Andean Common Market (ANCOM),ANCOM§,ANCOM§,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
34,Southern Asia,Asie méridionale,Area,64,Y,BTN,Bhutan,Bhutan,Bhoutan,20151,Thimphu,Thimphou,BTN,Ngultrum (BTN),ngultrum (BTN),Y,2,Y,356,India,Inde,356,India,Inde,826,United Kingdom,Royaume-Uni,840,United States,États-Unis,524,Nepal,Népal,764,Thailand,Thaïlande,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
,,,Group,65,Y,,ASEAN Free Trade Area (AFTA),ASEAN Free Trade Area (AFTA),Zone de libre-échange des pays de l'ANASE,,,,,,,N,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
,,,Group,66,Y,,Asia-Pacific Economic Cooperation (APEC),APEC§,CEAP§,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
,,,Group,67,Y,,European Economic Area (EEA),,,,,,,,,N,2,N,,,,,,,,,,,,,,,,,,,,,,,,
5,South America,Amérique du Sud,Area,68,Y,BOL,Bolivia (Plurinational State of),Bolivia (Plurin. State of),Bolivie (État plurin. de),20158,Sucre,Sucre,BOB,Boliviano (BOB),boliviano (BOB),Y,2,Y,76,Brazil,Brésil,156,China,Chine,32,Argentina,Argentine,76,Brazil,Brésil,356,India,Inde,32,Argentina,Argentine,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
,,,Group,69,Y,,Southern Common Market (MERCOSUR),MERCOSUR§,MERCOSUR§,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
39,Southern Europe,Europe méridionale,Area,70,Y,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnie-Herzégovine,20164,Sarajevo,Sarajevo,BAM,Convertible Mark (BAM),marka convertible (BAM),Y,2,Y,276,Germany,Allemagne,276,Germany,Allemagne,191,Croatia,Croatie,380,Italy,Italie,380,Italy,Italie,688,Serbia,Serbie,S,The special trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce spécial. Voir les Notes techniques pour une explication des Systèmes de commerce.,TCE,Arrivals of non-resident tourists in all types of tourism accommodation establishments.,Arrivées de touristes non résidents dans tous les types d'établissements d'hébergement touristique.
,,,Group,71,Y,,North American Free Trade Agreement (NAFTA),NAFTA§,ALENA§,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
18,Southern Africa,Afrique australe,Area,72,Y,BWA,Botswana,Botswana,Botswana,20167,Gaborone,Gaborone,BWP,Pula (BWP),pula (BWP),Y,2,Y,56,Belgium,Belgique,710,South Africa,Afrique du Sud,356,India,Inde,124,Canada,Canada,784,United Arab Emirates,Émirats arabes unis,516,Namibia,Namibie,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
,,,Group,73,Y,,Association of Southeast Asian Nations (ASEAN),ASEAN§,ANASE§,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
5,South America,Amérique du Sud,Area,74,Y,BVT,Bouvet Island,Bouvet Island,Île Bouvet,,,,NOK,Norwegian Krone (NOK),couronne norvégienne (NOK),Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
5,South America,Amérique du Sud,Area,76,Y,BRA,Brazil,Brazil,Brésil,20187,Brasilia,Brasilia,BRL,Brazilian Real (BRL),real brésilien (BRL),Y,2,Y,156,China,Chine,156,China,Chine,840,United States,États-Unis,840,United States,États-Unis,32,Argentina,Argentine,32,Argentina,Argentine,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
5,South America,Amérique du Sud,Area,80,Y,ATB,British Antarctic Territory [former],British Antarctic Territory [former],Terr. antarctique brit. [anc.],,,,GBP,Pound Sterling (GBP),livre sterling (GBP),N,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
,,,Group,81,N,,Antarctic Fisheries,Antarctic Fisheries,Pêcheries antarctiques,,,,,,,N,1,N,,,,,,,,,,,,,,,,,,,,,,,,
13,Central America,Amérique centrale,Area,84,Y,BLZ,Belize,Belize,Belize,20310,Belmopan,Belmopan,BZD,Belize Dollar (BZD),dollar du Belize (BZD),Y,2,Y,826,United Kingdom,Royaume-Uni,840,United States,États-Unis,840,United States,États-Unis,156,China,Chine,388,Jamaica,Jamaïque,484,Mexico,Mexique,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
14,Eastern Africa,Afrique orientale,Area,86,Y,IOT,British Indian Ocean Territory,British Indian Ocean Terr.,Terr. brit. de l’océan Indien,,,,GBP,Pound Sterling (GBP),livre sterling (GBP),Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
54,Melanesia,Mélanésie,Area,90,Y,SLB,Solomon Islands,Solomon Islands,Îles Salomon,20311,Honiara,Honiara,SBD,Solomon Is. Dollar (SBD),dollar des Îl. Salomon (SBD),Y,2,Y,156,China,Chine,36,Australia,Australie,380,Italy,Italie,702,Singapore,Singapour,756,Switzerland,Suisse,554,New Zealand,Nouvelle-Zélande,S,The special trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce spécial. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
29,Caribbean,Caraïbes,Area,92,Y,VGB,British Virgin Islands,British Virgin Islands,Îles Vierges britanniques,20313,Road Town,Road Town,USD,US Dollar (USD),dollar des É.-U. (USD),Y,2,Y,484,Mexico,Mexique,899,Areas nes,Zones nsa,646,Rwanda,Rwanda,840,United States,États-Unis,36,Australia,Australie,756,Switzerland,Suisse,G,The general trade system. See the technical notes for an explanation of the trade systems.,Le système du commerce général. Voir les Notes techniques pour une explication des Systèmes de commerce.,TF,Arrivals of non-resident tourists at national borders.,Arrivées de touristes non résidents aux frontières nationales.
,,,Area,93,Y,,British Virgin Islands (Beef Island),Beef Island,Beef Island,,,,USD,US Dollar (USD),dollar des É.-U. (USD),N,3,N,,,,,,,,,,,,,,,,,,,,,,,,
,,,Group,95,Y,,Latin American Integration Association (LAIA),LAIA§,ALAI§,,,,,,,Y,2,Y,,,,,,,,,,,,,,,,,,,,,,,,
