goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	basePeriod	ageCode	ageDesc	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_latest_year	latest_year
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	30.66	30.64	31.24	31.67	31.56	31.21	30.75	30.41	30.91	30.1	29.11	28.69	27.7	29.61	29.61	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	13.93	13.32	13.04	12.88	12.58	11.76	11.29	15.1	15.97	15.54	14.84	13.8	12.64	12.02	12.02	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data				39.95	38.91	36.76	36.13	35.41	35.03	34.0	33.41	29.66	29.58	26.07	26.07	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747		Y_GE15	15 years old and over																											
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	050	Bangladesh	034	Southern Asia	Country	BGD	1	89.17660788	22.86961622		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	6.92	6.86	6.89	6.93	6.98	7.19	7.44	7.65	7.85	8.02	8.21	8.36	8.45	8.58	8.58	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	051	Armenia	145	Western Asia	Country	ARM	1	44.93839317	40.29499741		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	10.84	12.3	13.68	15.81	17.31	17.79	18.56	19.98	21.28	21.74	22.71	23.4	23.1	23.12	23.12	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	052	Barbados	029	Caribbean	Country	BRB	1	-59.5346489	13.13648273		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data			19.22	19.55	19.42	18.86	18.76	19.98	20.76	19.35	21.03	16.14	16.5		16.5	2016
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	056	Belgium	155	Western Europe	Country	BEL	1	4.660976456	50.64104975		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data				8.3	12.24	11.68	11.31	10.49	8.88	8.9	8.23	7.55	6.7		6.7	2016
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	060	Bermuda	021	Northern America	Country	BMU	0	-64.78155012	32.27881922		Y_GE15	15 years old and over																											
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	064	Bhutan	034	Southern Asia	Country	BTN	1	90.45098484	27.39598568		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	14.43	13.81	13.29	12.83	12.83	12.85	14.25	16.19	12.39	15.92	15.37	15.22	15.27	17.03	17.03	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	068	Bolivia (Plurinational State of)	005	South America	Country	BOL	1	-64.66224284	-16.71273412		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	4.46	5.07	5.7	5.2	6.28	6.16	6.51	7.82	7.56	9.71	13.71	13.07	13.2	13.26	13.26	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	070	Bosnia and Herzegovina	039	Southern Europe	Country	BIH	1	17.78584332	44.16845548		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data		27.38	28.18	31.71	33.83	32.21	31.38	32.15	31.75	32.45	33.31	30.42	28.94	28.32	28.32	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	072	Botswana	018	Southern Africa	Country	BWA	1	23.81380223	-22.18810073		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	6.62	6.31	6.66	7.62	8.53	8.49	8.81	8.4	8.43	8.59	8.75	8.1	8.32	7.7	7.7	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	074	Bouvet Island	005	South America	Country	BVT	0	3.410732868	-54.43295905		Y_GE15	15 years old and over																											
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	076	Brazil	005	South America	Country	BRA	1	-53.08432878	-10.77668561		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data		18.32	18.2	18.25	18.88	18.78	18.26	18.81	20.07	20.27	21.09	20.72	20.4	19.22	19.22	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	084	Belize	013	Central America	Country	BLZ	1	-88.70199554	17.19965901		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	25.7	25.45	23.42	26.34	26.96	26.02	25.14	24.3	23.52	24.11	23.37	21.01	20.42	19.85	19.85	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	086	British Indian Ocean Territory	014	Eastern Africa	Country	IOT	0	72.38715553	-7.299281071		Y_GE15	15 years old and over																											
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	090	Solomon Islands	054	Melanesia	Country	SLB	1	160.1584117	-9.622391719		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	7.46	7.98	8.13	7.92	7.73	7.54	4.48	4.06	3.96	3.56	4.05	3.94	4.12	4.28	4.28	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	092	British Virgin Islands	029	Caribbean	Country	VGB	0	-64.63294223	18.42256578		Y_GE15	15 years old and over																											
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	096	Brunei Darussalam	035	South-Eastern Asia	Country	BRN	1	114.6288563	4.49736984		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	20.97	25.8	23.1	22.69	23.02	23.69	23.28	23.14	22.67	22.86	20.16	20.71	19.43	18.18	18.18	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	100	Bulgaria	151	Eastern Europe	Country	BGR	1	25.23763153	42.75731323		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	84.92	85.41	84.48	88.27	92.17	92.05	91.65	59.82	61.15	60.58	60.21	60.14	48.39	50.87	50.87	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	104	Myanmar	035	South-Eastern Asia	Country	MMR	1	96.51752295	21.19332882		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	1.82	1.73	1.43	1.45	1.48	1.5	1.54	1.69	1.87	2.76	3.42	3.38	3.41	4.7	4.7	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	108	Burundi	014	Eastern Africa	Country	BDI	1	29.89080992	-3.366387428		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	1.56	1.59	1.71	1.83	1.87	2.03	2.26	2.48	2.7	3.21	3.14	3.18	3.17		3.17	2016
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	112	Belarus	151	Eastern Europe	Country	BLR	1	28.04940161	53.54193075		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	6.1	5.8	5.57	4.88	4.39	3.67	3.19	2.1	1.71	1.56	1.2	0.89	0.86	0.78	0.78	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	116	Cambodia	035	South-Eastern Asia	Country	KHM	1	104.922836	12.71163737		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data			2.33	3.03	3.14	3.96	4.12	4.28	4.49	4.77	5.69	6.12	7.24	7.52	7.52	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	120	Cameroon	017	Middle Africa	Country	CMR	1	12.7419827	5.692387031		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	0.49	1.01	1.1	1.14	1.23	1.32	1.71	1.76	1.86	1.99	2.01				2.01	2014
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	124	Canada	021	Northern America	Country	CAN	1	-101.6575058	57.72360191		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data			24.58	24.67	24.61	24.19	24.05	24.17	24.27	24.14	23.94	23.64	23.0	21.48	21.48	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	132	Cabo Verde	011	Western Africa	Country	CPV	1	-23.63544151	15.07791834		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	16.16	16.34	18.22	21.32	25.87	28.38	31.37	30.74	34.45	34.32	33.91	33.8	33.41	31.21	31.21	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	136	Cayman Islands	029	Caribbean	Country	CYM	0	-81.16740559	19.32266656		Y_GE15	15 years old and over																											
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	140	Central African Republic	017	Middle Africa	Country	CAF	1	20.93559492	7.003720791		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	0.3	0.29	0.29	0.49	0.52	0.75	0.86	0.9	0.94	1.02	0.94	0.66	0.65	0.68	0.68	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	144	Sri Lanka	034	Southern Asia	Country	LKA	1	80.70489654	7.614693343		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	8.78	9.09	12.11	13.38	14.21	15.02	15.98	17.4	18.01	18.31	18.44	18.59			18.59	2015
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	148	Chad	017	Middle Africa	Country	TCD	1	18.66618401	15.36279341		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	0.38	0.37	0.36	0.36	0.49	0.56	0.62	0.68	0.65	0.85	0.98	0.99	1.01	1.0	1.0	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	152	Chile	005	South America	Country	CHL	1	-71.23029019	-35.2652885		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	14.94	15.4	16.65	17.25	17.46	17.09	17.52	17.43	17.36	17.2	17.01	16.33	16.03	15.19	15.19	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	156	China	030	Eastern Asia	Country	CHN	1	104.1403375	32.30955217		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data									7.69	7.78	8.01	8.49	8.78	8.78	8.78	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	162	Christmas Island	053	Australia and New Zealand	Country	CXR	0	105.6426067	-10.4882473		Y_GE15	15 years old and over																											
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	166	Cocos (Keeling) Islands	053	Australia and New Zealand	Country	CCK	0	96.82633757	-12.18600682		Y_GE15	15 years old and over																											
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	170	Colombia	005	South America	Country	COL	1	-73.07446751	3.888209046		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data					13.61	13.56	13.42	14.38	14.67	15.29	15.31	15.91	15.76	15.31	15.31	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	174	Comoros	014	Eastern Africa	Country	COM	1	43.34234565	-11.66121732		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	0.58	0.57	0.55	1.07	1.04	1.26	1.23	2.15	2.33	2.49	2.87	2.79	3.14	3.06	3.06	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	175	Mayotte	014	Eastern Africa	Country	MYT	0	45.14015057	-12.82217691		Y_GE15	15 years old and over																											
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	178	Congo	011	Western Africa	Country	COG	1	15.22052612	-0.840544119		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	0.66	0.64	0.62	1.38	1.67	1.69	2.03	2.48	2.65	3.25	3.49	3.65			3.65	2015
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	180	Democratic Republic of the Congo	017	Middle Africa	Country	COD	1	23.65496507	-2.877154732		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	0.46	0.45	0.45	0.48	0.47	0.48	0.6	0.61	0.69	0.65	0.79	1.03			1.03	2015
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	184	Cook Islands	061	Polynesia	Country	COK	0	-159.7711391	-21.22696458		Y_GE15	15 years old and over																											
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	188	Costa Rica	013	Central America	Country	CRI	1	-84.19712782	9.970998683		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	16.23	18.16	18.76	20.89	20.62	20.21	20.27	23.13	23.05	22.56	22.32	22.33	21.79	20.73	20.73	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	191	Croatia	039	Southern Europe	Country	HRV	1	17.95874553	45.45172212		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	28.84	30.72	30.77	32.67	34.36	35.68	35.18	35.93	35.62	34.65	33.91	33.6	32.83	32.5	32.5	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	192	Cuba	029	Caribbean	Country	CUB	1	-79.54460144	22.10030366		Y_GE15	15 years old and over																											
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	196	Cyprus	145	Western Asia	Country	CYP	1	33.22285964	35.05659437		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	67.5	62.76	60.77	60.69	61.18	60.28	57.98	55.57	52.15	39.28	37.87	36.17	34.34	50.46	50.46	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	203	Czechia	151	Eastern Europe	Country	CZE	1	15.33151382	49.73913871		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	21.0	21.37	21.89	21.59	22.81	22.74	22.61	23.29	23.84	24.3	24.22	23.69	22.36	21.29	21.29	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	204	Benin	011	Western Africa	Country	BEN	1	2.339933594	9.65401646		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	0.96	1.1	1.64	2.04	2.45	2.84	3.06	3.29	3.28	3.36	3.46	3.65	3.62	3.37	3.37	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	208	Denmark	154	Northern Europe	Country	DNK	1	9.326571283	56.03829721		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	50.08	50.2	50.52	51.86	50.45	45.8	40.86	38.73	34.08	30.01	27.79	24.69	24.05	20.69	20.69	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	212	Dominica	029	Caribbean	Country	DMA	1	-61.3493756	15.43391378		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	21.78	21.7	21.65	21.61	21.57	21.52	21.46	21.37	21.28	21.17	19.31	19.21	17.37	15.55	15.55	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	214	Dominican Republic	029	Caribbean	Country	DOM	1	-70.49847576	18.89832088		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	9.94	9.91	9.89	9.9	10.03	10.19	10.23	10.65	10.49	11.66	11.57	12.57	12.6	12.65	12.65	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	218	Ecuador	005	South America	Country	ECU	1	-78.37005241	-1.447785891		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	10.44	10.56	11.0	11.86	11.95	11.93	12.28	12.67	12.92	11.97	11.6	11.55	11.03	9.26	9.26	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	222	El Salvador	013	Central America	Country	SLV	1	-88.86862995	13.73603564		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data						11.69	10.67	11.5	11.08	11.75	11.68	11.47	13.25	14.83	14.83	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	226	Equatorial Guinea	017	Middle Africa	Country	GNQ	1	10.46535826	1.565792376		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	2.52	2.62	2.91	2.97	3.01	3.05	3.24	3.26	3.89	3.86	4.4	4.89			4.89	2015
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	231	Ethiopia	014	Eastern Africa	Country	ETH	1	39.63505296	8.631223181		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	0.83	0.91	0.94	1.07	1.19	1.31	1.36	1.89	2.93						2.93	2012
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	232	Eritrea	014	Eastern Africa	Country	ERI	1	38.11074289	16.12894644		Y_GE15	15 years old and over																											
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	233	Estonia	154	Northern Europe	Country	EST	1	25.84093481	58.68487172		Y_GE15	15 years old and over	NUMBER	Number			G	Global			Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS		C: Country data	18.41	20.88	22.63	24.02	23.82	20.28	19.47	17.35	16.02	13.95	12.39	11.15	10.43	10.09	10.09	2017
8	8.10	8.10.1	FB_CBK_BRCH	Number of commercial bank branches per 100,000 adults	2019.Q3.G.01	234	Faroe Islands	154	Northern Europe	Country	FRO	0	-7.122044325	62.21228119		Y_GE15	15 years old and over																											
