goal	target	indicator	seriesCode	seriesDesc	release	geoAreaCode	geoAreaName	parentCode	parentName	type	ISO3	UN_Member	X	Y	unitsCode	unitsDesc	unitmultiplierCode	unitmultiplierDesc	reportingTypeCode	reportingTypeDesc	valueDetails	footnotes	sources	timeDetails	nature	value_2000	value_2001	value_2002	value_2003	value_2004	value_2005	value_2006	value_2007	value_2008	value_2009	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	value_latest_year	latest_year
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	036	Australia	053	Australia and New Zealand	Country	AUS	1	134.3499412	-25.57717202	PERCENT	Percentage			G	Global		[2000-2002]: Out of 20 local breeds, 85% are of unknown status // [2003]: Out of 20 local breeds, 95% are of unknown status // [2004]: Out of 23 local breeds, 96% are of unknown status // [2005-2007]: Out of 23 local breeds, 87% are of unknown status // [2008]: Out of 24 local breeds, 83% are of unknown status // [2009-2019]: Out of 126 local breeds, 96% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000-2001,2003-2011]: C: Country data // [2002,2012-2019]: E: Estimated data	66.66667	66.66667	66.66667	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	040	Austria	155	Western Europe	Country	AUT	1	14.14172472	47.58704857	PERCENT	Percentage			G	Global		[2000]: Out of 13 local breeds, 15% are of unknown status // [2001]: Out of 15 local breeds, 7% are of unknown status // [2002-2003]: Out of 14 local breeds, 0% are of unknown status // [2004-2005]: Out of 18 local breeds, 0% are of unknown status // [2006]: Out of 20 local breeds, 0% are of unknown status // [2007]: Out of 21 local breeds, 0% are of unknown status // [2008-2012]: Out of 23 local breeds, 0% are of unknown status // [2013-2015]: Out of 24 local breeds, 0% are of unknown status // [2016-2019]: Out of 26 local breeds, 0% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000-2017]: C: Country data // [2018-2019]: E: Estimated data	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	95.83333	95.83333	95.83333	96.15385	96.15385	96.15385	96.15385	96.15385	2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	044	Bahamas	029	Caribbean	Country	BHS	1	-78.05111663	24.69546597	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	[2000-2008]: No information on local breeds // [2009-2019]: Out of 1 local breeds, 100% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	048	Bahrain	145	Western Asia	Country	BHR	1	50.5490754	26.04407747	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	[2000-2008]: No information on local breeds // [2009-2019]: Out of 1 local breeds, 100% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	050	Bangladesh	034	Southern Asia	Country	BGD	1	89.17660788	22.86961622	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	[2000-2003]: Out of 6 local breeds, 100% are of unknown status // [2004-2008]: Out of 10 local breeds, 100% are of unknown status // [2009-2019]: Out of 48 local breeds, 100% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	051	Armenia	145	Western Asia	Country	ARM	1	44.93839317	40.29499741	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	[2000-2002]: Out of 2 local breeds, 100% are of unknown status // [2003-2008]: Out of 3 local breeds, 100% are of unknown status // [2009-2019]: Out of 13 local breeds, 100% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	052	Barbados	029	Caribbean	Country	BRB	1	-59.5346489	13.13648273	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	[2000-2008]: No information on local breeds // [2009-2019]: Out of 6 local breeds, 100% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	056	Belgium	155	Western Europe	Country	BEL	1	4.660976456	50.64104975	PERCENT	Percentage			G	Global		[2000-2004]: Out of 38 local breeds, 45% are of unknown status // [2005-2007]: Out of 38 local breeds, 74% are of unknown status // [2008]: Out of 38 local breeds, 79% are of unknown status // [2009-2010]: Out of 47 local breeds, 94% are of unknown status // [2011]: Out of 47 local breeds, 98% are of unknown status // [2012]: Out of 55 local breeds, 76% are of unknown status // [2013-2019]: Out of 74 local breeds, 35% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000,2002,2007,2012-2013]: C: Country data // [2001,2003-2006,2008-2011,2014-2019]: E: Estimated data	95.2381	95.2381	95.2381	95.2381	95.2381	100.0	100.0	90.0	87.5	66.66667	66.66667	0.0	100.0	95.83333	95.83333	95.83333	95.83333	95.83333	95.83333	95.83333	95.83333	2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	060	Bermuda	021	Northern America	Country	BMU	0	-64.78155012	32.27881922	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	Out of 2 local breeds, 100% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	064	Bhutan	034	Southern Asia	Country	BTN	1	90.45098484	27.39598568	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA	[2000-2006]: Out of 2 local breeds, 100% are of unknown status // [2007]: Out of 10 local breeds, 30% are of unknown status // [2008]: Out of 12 local breeds, 25% are of unknown status // [2009]: Out of 23 local breeds, 52% are of unknown status // [2010-2011]: Out of 24 local breeds, 50% are of unknown status // [2012-2019]: Out of 25 local breeds, 48% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000-2006]: NA: Data nature not available // [2007-2012]: C: Country data // [2013-2019]: E: Estimated data								42.85714	44.44444	54.54545	50.0	50.0	53.84615	53.84615	53.84615	53.84615	53.84615	53.84615	53.84615	53.84615	53.84615	2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	068	Bolivia (Plurinational State of)	005	South America	Country	BOL	1	-64.66224284	-16.71273412	PERCENT	Percentage			G	Global	[2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA	[2000]: Out of 3 local breeds, 67% are of unknown status // [2001-2002]: Out of 5 local breeds, 80% are of unknown status // [2003-2007]: Out of 6 local breeds, 100% are of unknown status // [2008]: Out of 10 local breeds, 100% are of unknown status // [2009]: Out of 26 local breeds, 100% are of unknown status // [2010-2019]: Out of 26 local breeds, 96% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000,2011-2019]: E: Estimated data // [2001-2002,2010]: C: Country data // [2003-2009]: NA: Data nature not available	100.0	100.0	100.0								0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	070	Bosnia and Herzegovina	039	Southern Europe	Country	BIH	1	17.78584332	44.16845548	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	[2000-2002]: Out of 1 local breeds, 100% are of unknown status // [2003-2008]: Out of 4 local breeds, 100% are of unknown status // [2009-2019]: Out of 19 local breeds, 100% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	072	Botswana	018	Southern Africa	Country	BWA	1	23.81380223	-22.18810073	PERCENT	Percentage			G	Global	[2010]: NA	[2000-2004]: Out of 4 local breeds, 25% are of unknown status // [2005-2008]: Out of 4 local breeds, 75% are of unknown status // [2009]: Out of 8 local breeds, 88% are of unknown status // [2010]: Out of 8 local breeds, 100% are of unknown status // [2011]: Out of 8 local breeds, 75% are of unknown status // [2012-2019]: Out of 9 local breeds, 56% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000-2009,2013-2019]: E: Estimated data // [2010]: NA: Data nature not available // [2011-2012]: C: Country data	33.33333	33.33333	33.33333	33.33333	33.33333	0.0	0.0	0.0	0.0	0.0		50.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	75.0	2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	074	Bouvet Island	005	South America	Country	BVT	0	3.410732868	-54.43295905																																	
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	076	Brazil	005	South America	Country	BRA	1	-53.08432878	-10.77668561	PERCENT	Percentage			G	Global	[2014]: NA // [2015]: NA // [2016]: NA	[2000-2001]: Out of 27 local breeds, 89% are of unknown status // [2002]: Out of 27 local breeds, 93% are of unknown status // [2003]: Out of 36 local breeds, 92% are of unknown status // [2004]: Out of 37 local breeds, 92% are of unknown status // [2005-2008]: Out of 37 local breeds, 95% are of unknown status // [2009-2013]: Out of 80 local breeds, 98% are of unknown status // [2014-2016]: Out of 80 local breeds, 100% are of unknown status // [2017-2019]: Out of 87 local breeds, 85% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000-2002,2005-2013,2018-2019]: E: Estimated data // [2003-2004,2017]: C: Country data // [2014-2016]: NA: Data nature not available	0.0	0.0	0.0	33.33333	33.33333	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0				53.84615	53.84615	53.84615	53.84615	2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	084	Belize	013	Central America	Country	BLZ	1	-88.70199554	17.19965901	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	[2000-2008]: No information on local breeds // [2009-2019]: Out of 1 local breeds, 100% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	086	British Indian Ocean Territory	014	Eastern Africa	Country	IOT	0	72.38715553	-7.299281071	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	No information on local breeds	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	090	Solomon Islands	054	Melanesia	Country	SLB	1	160.1584117	-9.622391719	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	[2000-2008]: Out of 2 local breeds, 100% are of unknown status // [2009-2019]: Out of 8 local breeds, 100% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	092	British Virgin Islands	029	Caribbean	Country	VGB	0	-64.63294223	18.42256578	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	Out of 1 local breeds, 100% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	096	Brunei Darussalam	035	South-Eastern Asia	Country	BRN	1	114.6288563	4.49736984	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	No information on local breeds	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	100	Bulgaria	151	Eastern Europe	Country	BGR	1	25.23763153	42.75731323	PERCENT	Percentage			G	Global		[2000-2001]: Out of 6 local breeds, 17% are of unknown status // [2002-2004]: Out of 9 local breeds, 11% are of unknown status // [2005-2008]: Out of 9 local breeds, 67% are of unknown status // [2009]: Out of 54 local breeds, 9% are of unknown status // [2010]: Out of 59 local breeds, 5% are of unknown status // [2011]: Out of 62 local breeds, 5% are of unknown status // [2012]: Out of 65 local breeds, 5% are of unknown status // [2013]: Out of 70 local breeds, 4% are of unknown status // [2014]: Out of 69 local breeds, 4% are of unknown status // [2015]: Out of 71 local breeds, 4% are of unknown status // [2016]: Out of 72 local breeds, 4% are of unknown status // [2017-2019]: Out of 74 local breeds, 4% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000-2001,2003-2008,2018-2019]: E: Estimated data // [2002,2009-2017]: C: Country data	100.0	100.0	87.5	87.5	87.5	66.66667	66.66667	66.66667	66.66667	89.79592	87.5	91.52542	93.54839	92.53731	81.81818	86.76471	92.75362	83.09859	83.09859	83.09859	83.09859	2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	104	Myanmar	035	South-Eastern Asia	Country	MMR	1	96.51752295	21.19332882	PERCENT	Percentage			G	Global	[2000]: NA // [2001]: NA // [2002]: NA // [2003]: NA // [2004]: NA // [2005]: NA // [2006]: NA // [2007]: NA // [2008]: NA // [2009]: NA // [2010]: NA // [2011]: NA // [2012]: NA // [2013]: NA // [2014]: NA // [2015]: NA // [2016]: NA // [2017]: NA // [2018]: NA // [2019]: NA	[2000-2008]: Out of 18 local breeds, 100% are of unknown status // [2009-2019]: Out of 19 local breeds, 100% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		NA: Data nature not available																						2019
2	2.5	2.5.2	ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	2019.Q2.G.01	108	Burundi	014	Eastern Africa	Country	BDI	1	29.89080992	-3.366387428	PERCENT	Percentage			G	Global		[2000,2004-2008]: Out of 3 local breeds, 0% are of unknown status // [2001-2003]: Out of 3 local breeds, 33% are of unknown status // [2009]: Out of 6 local breeds, 50% are of unknown status // [2010-2019]: Out of 7 local breeds, 43% are of unknown status	DAD-IS 2019 http://www.fao.org/dad-is/		[2000-2001,2004-2013,2016]: C: Country data // [2002-2003,2014-2015,2017-2019]: E: Estimated data	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2019
